training_id,employee_id,course_name,status,training_date,plan_year,duration_hours
1,1001,Data Security Awareness,Completed,2024-09-09,2024,2
2,1001,Financial Reporting for Retail,Completed,2024-09-02,2024,4
3,1001,Workplace Safety and Compliance,Completed,2024-01-31,2024,2
4,1001,Customer Service Excellence,Scheduled,2024-10-04,2024,4
5,1001,Inventory Management Basics,Completed,2024-03-11,2024,3
6,1001,Customer Service Excellence,Scheduled,2025-08-14,2025,4
7,1001,Inventory Management Basics,Scheduled,2025-12-05,2025,3
8,1001,Financial Reporting for Retail,Scheduled,2025-07-16,2025,4
9,1001,Data Security Awareness,Completed,2025-02-04,2025,2
10,1001,Workplace Safety and Compliance,Completed,2025-01-25,2025,2
11,1002,Customer Service Excellence,Scheduled,2025-02-15,2024,4
12,1002,Workplace Safety and Compliance,Scheduled,2024-12-07,2024,2
13,1002,Financial Reporting for Retail,Scheduled,2025-02-24,2024,4
14,1002,Leadership and Team Management,Scheduled,2024-10-13,2024,6
15,1002,Inventory Management Basics,Completed,2024-02-05,2024,3
16,1002,Data Security Awareness,Completed,2024-10-21,2024,2
17,1002,Inventory Management Basics,Scheduled,2025-09-20,2025,3
18,1002,Customer Service Excellence,Scheduled,2025-10-27,2025,4
19,1002,Financial Reporting for Retail,Scheduled,2025-12-24,2025,4
20,1002,Workplace Safety and Compliance,Scheduled,2025-08-04,2025,2
21,1002,Data Security Awareness,Scheduled,2025-07-07,2025,2
22,1002,Leadership and Team Management,Completed,2025-02-06,2025,6
23,1003,Workplace Safety and Compliance,Completed,2024-07-19,2024,2
24,1003,Data Security Awareness,Completed,2024-09-04,2024,2
25,1003,Inventory Management Basics,Completed,2024-03-24,2024,3
26,1003,Customer Service Excellence,Completed,2024-04-22,2024,4
27,1003,Data Security Awareness,Completed,2025-02-07,2025,2
28,1003,Customer Service Excellence,Completed,2025-03-27,2025,4
29,1003,Workplace Safety and Compliance,Completed,2025-02-06,2025,2
30,1003,Inventory Management Basics,Completed,2025-03-08,2025,3
31,1004,Data Security Awareness,Scheduled,2024-11-19,2024,2
32,1004,Inventory Management Basics,Completed,2024-12-22,2024,3
33,1004,Workplace Safety and Compliance,Scheduled,2025-01-13,2024,2
34,1004,Customer Service Excellence,Completed,2024-04-06,2024,4
35,1004,Retail Sales Techniques,Completed,2024-12-13,2024,5
36,1004,Workplace Safety and Compliance,Scheduled,2025-08-10,2025,2
37,1004,Data Security Awareness,Scheduled,2025-09-08,2025,2
38,1004,Customer Service Excellence,Scheduled,2025-08-30,2025,4
39,1004,Retail Sales Techniques,Scheduled,2025-10-15,2025,5
40,1004,Inventory Management Basics,Scheduled,2025-08-22,2025,3
41,1005,Workplace Safety and Compliance,Completed,2024-12-07,2024,2
42,1005,Customer Service Excellence,Completed,2024-01-10,2024,4
43,1005,Inventory Management Basics,Scheduled,2024-07-28,2024,3
44,1005,Data Security Awareness,Completed,2024-02-26,2024,2
45,1005,Data Security Awareness,Completed,2025-04-27,2025,2
46,1005,Workplace Safety and Compliance,Scheduled,2025-06-25,2025,2
47,1005,Customer Service Excellence,Scheduled,2025-11-09,2025,4
48,1005,Inventory Management Basics,Scheduled,2025-07-26,2025,3
49,1006,Data Security Awareness,Completed,2024-08-08,2024,2
50,1006,Inventory Management Basics,Completed,2024-01-12,2024,3
51,1006,Retail Sales Techniques,Completed,2024-03-31,2024,5
52,1006,Workplace Safety and Compliance,Completed,2024-12-17,2024,2
53,1006,Customer Service Excellence,Scheduled,2024-12-29,2024,4
54,1006,Inventory Management Basics,Scheduled,2025-09-10,2025,3
55,1006,Customer Service Excellence,Scheduled,2025-07-30,2025,4
56,1006,Retail Sales Techniques,Scheduled,2025-11-07,2025,5
57,1006,Data Security Awareness,Scheduled,2025-08-16,2025,2
58,1006,Workplace Safety and Compliance,Scheduled,2025-10-10,2025,2
59,1007,Advanced Inventory Control,Scheduled,2025-01-01,2024,4
60,1007,Data Security Awareness,Completed,2024-02-18,2024,2
61,1007,Workplace Safety and Compliance,Completed,2024-08-03,2024,2
62,1007,Customer Service Excellence,Completed,2024-04-08,2024,4
63,1007,Inventory Management Basics,Completed,2024-03-12,2024,3
64,1007,Advanced Inventory Control,Completed,2025-04-08,2025,4
65,1007,Workplace Safety and Compliance,Completed,2025-03-18,2025,2
66,1007,Inventory Management Basics,Scheduled,2025-08-02,2025,3
67,1007,Customer Service Excellence,Completed,2025-02-09,2025,4
68,1007,Data Security Awareness,Scheduled,2025-09-13,2025,2
69,1008,Customer Service Excellence,Completed,2024-07-20,2024,4
70,1008,Workplace Safety and Compliance,Scheduled,2024-07-30,2024,2
71,1008,Data Security Awareness,Completed,2024-12-20,2024,2
72,1008,Inventory Management Basics,Scheduled,2025-01-19,2024,3
73,1008,Data Security Awareness,Scheduled,2025-11-30,2025,2
74,1008,Workplace Safety and Compliance,Completed,2025-02-02,2025,2
75,1008,Inventory Management Basics,Scheduled,2025-09-28,2025,3
76,1008,Customer Service Excellence,Scheduled,2025-09-07,2025,4
77,1009,Retail Sales Techniques,Scheduled,2024-10-22,2024,5
78,1009,Inventory Management Basics,Completed,2024-10-26,2024,3
79,1009,Customer Service Excellence,Completed,2024-07-11,2024,4
80,1009,Leadership and Team Management,Completed,2024-10-19,2024,6
81,1009,Workplace Safety and Compliance,Completed,2024-07-02,2024,2
82,1009,Data Security Awareness,Completed,2024-07-16,2024,2
83,1009,Workplace Safety and Compliance,Scheduled,2025-11-29,2025,2
84,1009,Data Security Awareness,Scheduled,2025-06-23,2025,2
85,1009,Retail Sales Techniques,Completed,2025-02-23,2025,5
86,1009,Leadership and Team Management,Completed,2025-03-15,2025,6
87,1009,Customer Service Excellence,Completed,2025-04-01,2025,4
88,1009,Inventory Management Basics,Completed,2025-03-05,2025,3
89,1010,Workplace Safety and Compliance,Scheduled,2024-12-05,2024,2
90,1010,Customer Service Excellence,Scheduled,2024-07-07,2024,4
91,1010,Data Security Awareness,Completed,2024-07-09,2024,2
92,1010,Inventory Management Basics,Completed,2024-10-02,2024,3
93,1010,Workplace Safety and Compliance,Scheduled,2025-06-24,2025,2
94,1010,Data Security Awareness,Scheduled,2025-10-17,2025,2
95,1010,Inventory Management Basics,Completed,2025-03-17,2025,3
96,1010,Customer Service Excellence,Scheduled,2025-07-16,2025,4
97,1013,Inventory Management Basics,Scheduled,2024-08-12,2024,3
98,1013,Workplace Safety and Compliance,Completed,2024-11-06,2024,2
99,1013,Customer Service Excellence,Scheduled,2025-02-21,2024,4
100,1013,Data Security Awareness,Completed,2024-05-08,2024,2
101,1013,Leadership and Team Management,Completed,2024-12-24,2024,6
