historico_precio_id,producto_id,fecha_actualizacion,precio_base,costo_variable
1,1,2022-01-01,4987.5,2700.0
2,1,2022-02-01,5053.12,2716.27
3,1,2022-03-01,5269.87,2731.09
4,1,2022-04-01,5390.28,2733.28
5,1,2022-05-01,5586.68,2741.66
6,1,2022-06-01,5777.21,2753.34
7,1,2022-07-01,5994.38,2763.02
8,1,2022-08-01,6064.48,2787.06
9,1,2022-09-01,6210.65,2814.88
10,1,2022-10-01,6340.96,2842.47
11,1,2022-11-01,6644.79,2844.6
12,1,2022-12-01,6880.68,2854.93
13,1,2023-01-01,7169.97,2874.33
14,1,2023-02-01,7514.93,2878.43
15,1,2023-03-01,7772.71,2900.92
16,1,2023-04-01,7861.26,2902.87
17,1,2023-05-01,8184.68,2913.5
18,1,2023-06-01,8391.87,2930.03
19,1,2023-07-01,8678.9,2949.93
20,1,2023-08-01,9095.08,2960.9
21,1,2023-09-01,9463.64,2977.89
22,1,2023-10-01,9758.7,2989.74
23,1,2023-11-01,10109.84,2997.2
24,1,2023-12-01,10256.82,3019.25
25,1,2024-01-01,10564.13,3030.93
26,1,2024-02-01,10907.11,3038.86
27,1,2024-03-01,11129.74,3052.42
28,1,2024-04-01,11684.61,3061.14
29,1,2024-05-01,12229.8,3076.18
30,1,2024-06-01,12412.09,3102.41
31,1,2024-07-01,12760.64,3130.29
32,1,2024-08-01,13115.44,3133.04
33,1,2024-09-01,13604.35,3159.53
34,1,2024-10-01,13914.3,3170.51
35,1,2024-11-01,14089.59,3187.7
36,1,2024-12-01,14732.83,3214.84
37,1,2025-01-01,15299.64,3244.65
38,1,2025-02-01,15842.9,3270.4
39,1,2025-03-01,16323.74,3274.37
40,1,2025-04-01,16618.21,3278.92
41,1,2025-05-01,17309.78,3279.78
42,1,2025-06-01,17866.48,3291.88
43,1,2025-07-01,18619.49,3310.04
44,1,2025-08-01,19261.45,3312.89
45,1,2025-09-01,19692.36,3346.01
46,2,2022-01-01,9975.0,5400.0
47,2,2022-02-01,10381.65,5444.46
48,2,2022-03-01,10516.09,5497.4
49,2,2022-04-01,10891.45,5522.14
50,2,2022-05-01,11296.66,5541.16
51,2,2022-06-01,11806.35,5584.4
52,2,2022-07-01,12226.56,5594.56
53,2,2022-08-01,12821.39,5618.76
54,2,2022-09-01,13416.67,5621.87
55,2,2022-10-01,13617.47,5630.47
56,2,2022-11-01,13843.33,5648.64
57,2,2022-12-01,14374.54,5668.19
58,2,2023-01-01,15059.29,5718.92
59,2,2023-02-01,15719.45,5733.25
60,2,2023-03-01,16275.95,5764.83
61,2,2023-04-01,16520.2,5782.29
62,2,2023-05-01,17037.93,5811.35
63,2,2023-06-01,17323.24,5866.07
64,2,2023-07-01,17603.32,5904.71
65,2,2023-08-01,18286.77,5940.44
66,2,2023-09-01,19085.92,5973.92
67,2,2023-10-01,19906.79,5975.62
68,2,2023-11-01,20142.06,6013.95
69,2,2023-12-01,20808.18,6053.11
70,2,2024-01-01,21654.62,6078.33
71,2,2024-02-01,22424.65,6108.6
72,2,2024-03-01,23211.45,6126.29
73,2,2024-04-01,24331.77,6155.88
74,2,2024-05-01,25358.27,6198.05
75,2,2024-06-01,25913.55,6202.57
76,2,2024-07-01,26234.79,6229.84
77,2,2024-08-01,27005.31,6242.55
78,2,2024-09-01,27930.69,6262.06
79,2,2024-10-01,29012.57,6308.04
80,2,2024-11-01,30301.63,6369.57
81,2,2024-12-01,30763.14,6393.17
82,2,2025-01-01,31761.9,6413.57
83,2,2025-02-01,32672.16,6430.72
84,2,2025-03-01,33322.88,6436.95
85,2,2025-04-01,34042.94,6461.68
86,2,2025-05-01,35221.34,6477.72
87,2,2025-06-01,36792.64,6488.06
88,2,2025-07-01,37642.46,6525.54
89,2,2025-08-01,38489.74,6575.34
90,2,2025-09-01,39641.76,6609.18
91,3,2022-01-01,11970.0,6480.0
92,3,2022-02-01,12100.8,6541.25
93,3,2022-03-01,12466.46,6604.48
94,3,2022-04-01,12698.41,6627.79
95,3,2022-05-01,12851.07,6660.59
96,3,2022-06-01,13433.14,6704.17
97,3,2022-07-01,13820.33,6740.15
98,3,2022-08-01,14426.86,6769.2
99,3,2022-09-01,15080.37,6818.45
100,3,2022-10-01,15691.94,6843.4
101,3,2022-11-01,16100.3,6882.43
102,3,2022-12-01,16386.66,6920.51
103,3,2023-01-01,16598.72,6955.41
104,3,2023-02-01,17272.23,6974.87
105,3,2023-03-01,18128.3,7022.33
106,3,2023-04-01,18395.74,7090.8
107,3,2023-05-01,18869.54,7147.16
108,3,2023-06-01,19314.17,7214.27
109,3,2023-07-01,20090.57,7228.63
110,3,2023-08-01,20700.62,7264.78
111,3,2023-09-01,20945.14,7274.74
112,3,2023-10-01,21433.61,7309.2
113,3,2023-11-01,22039.74,7353.51
114,3,2023-12-01,22714.6,7377.63
115,3,2024-01-01,23498.77,7389.62
116,3,2024-02-01,24664.89,7444.25
117,3,2024-03-01,25206.76,7469.29
118,3,2024-04-01,26293.97,7509.05
119,3,2024-05-01,27302.33,7531.56
120,3,2024-06-01,28466.23,7559.3
121,3,2024-07-01,29518.12,7633.37
122,3,2024-08-01,30502.49,7694.19
123,3,2024-09-01,31692.48,7747.13
124,3,2024-10-01,32043.19,7783.9
125,3,2024-11-01,33603.14,7844.84
126,3,2024-12-01,34982.43,7890.15
127,3,2025-01-01,36341.71,7936.19
128,3,2025-02-01,36953.0,7986.11
129,3,2025-03-01,38238.57,8053.29
130,3,2025-04-01,38846.98,8108.11
131,3,2025-05-01,39284.51,8184.99
132,3,2025-06-01,39850.04,8186.54
133,3,2025-07-01,40748.57,8198.94
134,3,2025-08-01,42281.53,8232.59
135,3,2025-09-01,44015.03,8308.37
136,4,2022-01-01,23940.0,12960.0
137,4,2022-02-01,24239.04,12977.9
138,4,2022-03-01,24682.46,13020.08
139,4,2022-04-01,25583.1,13088.5
140,4,2022-05-01,26160.0,13111.17
141,4,2022-06-01,27376.05,13156.05
142,4,2022-07-01,28037.77,13257.61
143,4,2022-08-01,29126.67,13342.9
144,4,2022-09-01,30225.69,13424.3
145,4,2022-10-01,30760.4,13457.39
146,4,2022-11-01,31754.68,13487.65
147,4,2022-12-01,33308.01,13527.79
148,4,2023-01-01,34026.14,13555.83
149,4,2023-02-01,35325.92,13598.81
150,4,2023-03-01,36172.05,13725.78
151,4,2023-04-01,37684.63,13763.31
152,4,2023-05-01,38245.19,13856.44
153,4,2023-06-01,39208.5,13992.26
154,4,2023-07-01,40884.08,14125.83
155,4,2023-08-01,42608.76,14166.86
156,4,2023-09-01,43525.07,14268.03
157,4,2023-10-01,44563.34,14331.15
158,4,2023-11-01,45466.09,14399.81
159,4,2023-12-01,46288.24,14477.36
160,4,2024-01-01,48478.64,14578.15
161,4,2024-02-01,49229.62,14667.9
162,4,2024-03-01,50877.49,14703.46
163,4,2024-04-01,52749.44,14781.54
164,4,2024-05-01,54622.98,14789.3
165,4,2024-06-01,56072.24,14895.39
166,4,2024-07-01,56858.47,15010.2
167,4,2024-08-01,57438.84,15092.81
168,4,2024-09-01,60147.88,15154.22
169,4,2024-10-01,62998.97,15287.33
170,4,2024-11-01,64832.11,15317.82
171,4,2024-12-01,67980.13,15367.02
172,4,2025-01-01,70416.26,15506.54
173,4,2025-02-01,71372.4,15595.57
