inventario_id,producto_id,region_id,stock,fecha_actualizacion
1,1,1,103,2025-05-31
2,2,1,78,2025-05-31
3,3,1,402,2025-05-31
4,4,1,213,2025-05-31
5,5,1,319,2025-05-31
6,6,1,383,2025-05-31
7,7,1,84,2025-05-31
8,8,1,335,2025-05-31
9,9,1,397,2025-05-31
10,10,1,322,2025-05-31
11,11,1,257,2025-05-31
12,12,1,287,2025-05-31
13,13,1,463,2025-05-31
14,14,1,142,2025-05-31
15,15,1,222,2025-05-31
16,16,1,128,2025-05-31
17,17,1,159,2025-05-31
18,18,1,266,2025-05-31
19,55,1,484,2025-05-31
20,56,1,407,2025-05-31
21,57,1,155,2025-05-31
22,58,1,96,2025-05-31
23,59,1,230,2025-05-31
24,60,1,113,2025-05-31
25,61,1,295,2025-05-31
26,62,1,293,2025-05-31
27,79,1,471,2025-05-31
28,80,1,369,2025-05-31
29,81,1,136,2025-05-31
30,82,1,266,2025-05-31
31,91,1,56,2025-05-31
32,92,1,327,2025-05-31
33,93,1,386,2025-05-31
34,94,1,259,2025-05-31
35,95,1,218,2025-05-31
36,96,1,379,2025-05-31
37,97,1,187,2025-05-31
38,98,1,490,2025-05-31
39,99,1,440,2025-05-31
40,100,1,430,2025-05-31
41,101,1,355,2025-05-31
42,102,1,279,2025-05-31
43,1,2,357,2025-05-31
44,2,2,210,2025-05-31
45,3,2,50,2025-05-31
46,4,2,285,2025-05-31
47,5,2,486,2025-05-31
48,6,2,237,2025-05-31
49,7,2,467,2025-05-31
50,8,2,53,2025-05-31
51,9,2,450,2025-05-31
52,10,2,181,2025-05-31
53,11,2,476,2025-05-31
54,12,2,267,2025-05-31
55,13,2,309,2025-05-31
56,14,2,50,2025-05-31
57,15,2,120,2025-05-31
58,16,2,227,2025-05-31
59,17,2,238,2025-05-31
60,18,2,340,2025-05-31
61,55,2,57,2025-05-31
62,56,2,302,2025-05-31
63,57,2,457,2025-05-31
64,58,2,341,2025-05-31
65,59,2,483,2025-05-31
66,60,2,293,2025-05-31
67,61,2,172,2025-05-31
68,62,2,348,2025-05-31
69,79,2,332,2025-05-31
70,80,2,81,2025-05-31
71,81,2,383,2025-05-31
72,82,2,426,2025-05-31
73,91,2,195,2025-05-31
74,92,2,205,2025-05-31
75,93,2,462,2025-05-31
76,94,2,65,2025-05-31
77,95,2,404,2025-05-31
78,96,2,96,2025-05-31
79,97,2,300,2025-05-31
80,98,2,236,2025-05-31
81,99,2,80,2025-05-31
82,100,2,309,2025-05-31
83,101,2,470,2025-05-31
84,102,2,66,2025-05-31
85,1,3,88,2025-05-31
86,2,3,353,2025-05-31
87,3,3,479,2025-05-31
88,4,3,481,2025-05-31
89,5,3,88,2025-05-31
90,6,3,181,2025-05-31
91,7,3,79,2025-05-31
92,8,3,207,2025-05-31
93,9,3,327,2025-05-31
94,10,3,252,2025-05-31
95,11,3,115,2025-05-31
96,12,3,157,2025-05-31
97,13,3,317,2025-05-31
98,14,3,271,2025-05-31
99,15,3,341,2025-05-31
100,16,3,67,2025-05-31
101,17,3,139,2025-05-31
102,18,3,230,2025-05-31
103,55,3,304,2025-05-31
104,56,3,302,2025-05-31
105,57,3,306,2025-05-31
106,58,3,432,2025-05-31
107,59,3,491,2025-05-31
108,60,3,395,2025-05-31
109,61,3,136,2025-05-31
110,62,3,139,2025-05-31
111,79,3,286,2025-05-31
112,80,3,439,2025-05-31
113,81,3,119,2025-05-31
114,82,3,93,2025-05-31
115,91,3,249,2025-05-31
116,92,3,201,2025-05-31
117,93,3,135,2025-05-31
118,94,3,68,2025-05-31
119,95,3,150,2025-05-31
120,96,3,451,2025-05-31
121,97,3,144,2025-05-31
122,98,3,303,2025-05-31
123,99,3,406,2025-05-31
124,100,3,79,2025-05-31
125,101,3,298,2025-05-31
126,102,3,475,2025-05-31
127,1,4,82,2025-05-31
128,2,4,278,2025-05-31
129,3,4,61,2025-05-31
130,4,4,167,2025-05-31
131,5,4,399,2025-05-31
132,6,4,204,2025-05-31
133,7,4,472,2025-05-31
134,8,4,442,2025-05-31
135,9,4,295,2025-05-31
136,10,4,454,2025-05-31
137,11,4,381,2025-05-31
138,12,4,296,2025-05-31
139,13,4,78,2025-05-31
140,14,4,210,2025-05-31
141,15,4,284,2025-05-31
142,16,4,239,2025-05-31
143,17,4,166,2025-05-31
144,18,4,320,2025-05-31
145,55,4,307,2025-05-31
146,56,4,229,2025-05-31
147,57,4,422,2025-05-31
148,58,4,221,2025-05-31
149,59,4,487,2025-05-31
150,60,4,323,2025-05-31
151,61,4,308,2025-05-31
152,62,4,184,2025-05-31
153,79,4,220,2025-05-31
154,80,4,259,2025-05-31
155,81,4,285,2025-05-31
156,82,4,471,2025-05-31
157,91,4,470,2025-05-31
158,92,4,235,2025-05-31
159,93,4,466,2025-05-31
160,94,4,413,2025-05-31
161,95,4,492,2025-05-31
162,96,4,144,2025-05-31
163,97,4,427,2025-05-31
164,98,4,60,2025-05-31
165,99,4,117,2025-05-31
166,100,4,428,2025-05-31
167,101,4,259,2025-05-31
168,102,4,245,2025-05-31
169,1,5,418,2025-05-31
170,2,5,147,2025-05-31
171,3,5,142,2025-05-31
172,4,5,71,2025-05-31
173,5,5,499,2025-05-31
174,6,5,221,2025-05-31
175,7,5,432,2025-05-31
176,8,5,183,2025-05-31
177,9,5,475,2025-05-31
178,10,5,74,2025-05-31
179,11,5,234,2025-05-31
180,12,5,134,2025-05-31
181,13,5,104,2025-05-31
182,14,5,300,2025-05-31
183,15,5,193,2025-05-31
184,16,5,400,2025-05-31
185,17,5,447,2025-05-31
186,18,5,216,2025-05-31
187,55,5,461,2025-05-31
188,56,5,273,2025-05-31
189,57,5,269,2025-05-31
190,58,5,228,2025-05-31
191,59,5,168,2025-05-31
192,60,5,482,2025-05-31
193,61,5,314,2025-05-31
194,62,5,491,2025-05-31
195,79,5,478,2025-05-31
196,80,5,199,2025-05-31
197,81,5,465,2025-05-31
198,82,5,264,2025-05-31
199,91,5,246,2025-05-31
200,92,5,91,2025-05-31
201,93,5,102,2025-05-31
202,94,5,492,2025-05-31
203,95,5,379,2025-05-31
204,96,5,300,2025-05-31
205,97,5,344,2025-05-31
206,98,5,427,2025-05-31
207,99,5,320,2025-05-31
208,100,5,462,2025-05-31
209,101,5,172,2025-05-31
210,102,5,416,2025-05-31
211,1,1,436,2025-04-30
212,2,1,388,2025-04-30
213,3,1,315,2025-04-30
214,4,1,397,2025-04-30
215,5,1,78,2025-04-30
216,6,1,84,2025-04-30
217,7,1,55,2025-04-30
218,8,1,445,2025-04-30
219,9,1,160,2025-04-30
220,10,1,343,2025-04-30
221,11,1,126,2025-04-30
222,12,1,398,2025-04-30
223,13,1,196,2025-04-30
224,14,1,116,2025-04-30
225,15,1,441,2025-04-30
226,16,1,57,2025-04-30
227,17,1,171,2025-04-30
228,18,1,389,2025-04-30
229,55,1,224,2025-04-30
230,56,1,437,2025-04-30
231,57,1,228,2025-04-30
232,58,1,134,2025-04-30
233,59,1,94,2025-04-30
234,60,1,185,2025-04-30
235,61,1,392,2025-04-30
236,62,1,65,2025-04-30
237,79,1,382,2025-04-30
238,80,1,244,2025-04-30
239,81,1,58,2025-04-30
240,82,1,365,2025-04-30
241,91,1,383,2025-04-30
242,92,1,382,2025-04-30
243,93,1,376,2025-04-30
244,94,1,64,2025-04-30
245,95,1,376,2025-04-30
246,96,1,151,2025-04-30
247,97,1,275,2025-04-30
248,98,1,474,2025-04-30
249,99,1,327,2025-04-30
250,100,1,457,2025-04-30
251,101,1,162,2025-04-30
252,102,1,477,2025-04-30
253,1,2,50,2025-04-30
254,2,2,315,2025-04-30
255,3,2,257,2025-04-30
256,4,2,159,2025-04-30
257,5,2,249,2025-04-30
258,6,2,489,2025-04-30
259,7,2,418,2025-04-30
260,8,2,355,2025-04-30
261,9,2,61,2025-04-30
262,10,2,394,2025-04-30
263,11,2,237,2025-04-30
264,12,2,203,2025-04-30
265,13,2,417,2025-04-30
266,14,2,383,2025-04-30
267,15,2,474,2025-04-30
268,16,2,469,2025-04-30
269,17,2,426,2025-04-30
270,18,2,328,2025-04-30
271,55,2,220,2025-04-30
272,56,2,183,2025-04-30
273,57,2,476,2025-04-30
274,58,2,74,2025-04-30
275,59,2,67,2025-04-30
276,60,2,239,2025-04-30
277,61,2,190,2025-04-30
278,62,2,92,2025-04-30
279,79,2,383,2025-04-30
280,80,2,333,2025-04-30
281,81,2,195,2025-04-30
282,82,2,364,2025-04-30
283,91,2,493,2025-04-30
284,92,2,368,2025-04-30
285,93,2,490,2025-04-30
286,94,2,141,2025-04-30
287,95,2,228,2025-04-30
288,96,2,105,2025-04-30
289,97,2,204,2025-04-30
290,98,2,209,2025-04-30
291,99,2,160,2025-04-30
292,100,2,186,2025-04-30
293,101,2,281,2025-04-30
294,102,2,269,2025-04-30
295,1,3,117,2025-04-30
296,2,3,351,2025-04-30
297,3,3,298,2025-04-30
298,4,3,372,2025-04-30
299,5,3,459,2025-04-30
300,6,3,441,2025-04-30
301,7,3,55,2025-04-30
302,8,3,329,2025-04-30
303,9,3,481,2025-04-30
304,10,3,143,2025-04-30
305,11,3,478,2025-04-30
306,12,3,318,2025-04-30
307,13,3,246,2025-04-30
308,14,3,74,2025-04-30
309,15,3,197,2025-04-30
310,16,3,167,2025-04-30
311,17,3,387,2025-04-30
312,18,3,416,2025-04-30
313,55,3,387,2025-04-30
314,56,3,115,2025-04-30
315,57,3,350,2025-04-30
316,58,3,419,2025-04-30
317,59,3,224,2025-04-30
318,60,3,368,2025-04-30
319,61,3,125,2025-04-30
320,62,3,163,2025-04-30
321,79,3,160,2025-04-30
322,80,3,298,2025-04-30
323,81,3,488,2025-04-30
324,82,3,252,2025-04-30
325,91,3,196,2025-04-30
326,92,3,84,2025-04-30
327,93,3,358,2025-04-30
328,94,3,75,2025-04-30
329,95,3,287,2025-04-30
330,96,3,63,2025-04-30
331,97,3,423,2025-04-30
332,98,3,94,2025-04-30
333,99,3,477,2025-04-30
334,100,3,265,2025-04-30
335,101,3,282,2025-04-30
336,102,3,242,2025-04-30
337,1,4,100,2025-04-30
338,2,4,476,2025-04-30
339,3,4,424,2025-04-30
340,4,4,263,2025-04-30
341,5,4,200,2025-04-30
342,6,4,489,2025-04-30
343,7,4,324,2025-04-30
344,8,4,387,2025-04-30
345,9,4,125,2025-04-30
346,10,4,488,2025-04-30
347,11,4,269,2025-04-30
348,12,4,397,2025-04-30
349,13,4,493,2025-04-30
350,14,4,236,2025-04-30
351,15,4,338,2025-04-30
352,16,4,452,2025-04-30
353,17,4,77,2025-04-30
354,18,4,428,2025-04-30
355,55,4,229,2025-04-30
356,56,4,302,2025-04-30
357,57,4,175,2025-04-30
358,58,4,226,2025-04-30
359,59,4,86,2025-04-30
360,60,4,459,2025-04-30
361,61,4,148,2025-04-30
