REGION_CATEGORIA_PRODUCTO,MES,M3_PRODUCTO,ORIGEN,LOWER_BOUND,UPPER_BOUND,REGION,CATEGORIA,PRODUCTO
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-01-01 00:00:00.000,2.432,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-02-01 00:00:00.000,1.249,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-03-01 00:00:00.000,2.515,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-04-01 00:00:00.000,2.476,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-05-01 00:00:00.000,2.328,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-06-01 00:00:00.000,2.088,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-07-01 00:00:00.000,2.404,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-08-01 00:00:00.000,2.071,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-09-01 00:00:00.000,2.423,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-10-01 00:00:00.000,2.675,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-11-01 00:00:00.000,2.646,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2023-12-01 00:00:00.000,2.591,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-01-01 00:00:00.000,2.594,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-02-01 00:00:00.000,2.115,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-03-01 00:00:00.000,2.88,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-04-01 00:00:00.000,2.281,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-05-01 00:00:00.000,2.585,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-06-01 00:00:00.000,4.009,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-07-01 00:00:00.000,4.024,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-08-01 00:00:00.000,3.494,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-09-01 00:00:00.000,4.157,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-10-01 00:00:00.000,2.948,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-11-01 00:00:00.000,3.963,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2024-12-01 00:00:00.000,4.27,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-01-01 00:00:00.000,3.932,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-02-01 00:00:00.000,2.818,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-03-01 00:00:00.000,3.719,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-04-01 00:00:00.000,3.635,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-05-01 00:00:00.000,3.148,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-06-01 00:00:00.000,5.282839222,FORECAST 1,5.057740344,5.508265497,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-06-01 00:00:00.000,2.991870999,FORECAST 2,2.766772117,3.217297271,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-07-01 00:00:00.000,5.582266275,FORECAST 1,5.343457948,5.820856518,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-07-01 00:00:00.000,3.291298051,FORECAST 2,3.052489722,3.529888292,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-08-01 00:00:00.000,5.360686188,FORECAST 1,5.11170804,5.617816159,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-08-01 00:00:00.000,3.067393263,FORECAST 2,2.818415115,3.324523234,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-09-01 00:00:00.000,6.138371924,FORECAST 1,5.87363142,6.407633476,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-09-01 00:00:00.000,3.845079,FORECAST 2,3.580338495,4.114340551,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-10-01 00:00:00.000,5.004274882,FORECAST 1,4.743431185,5.296567493,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-10-01 00:00:00.000,3.469519537,FORECAST 2,3.208675826,3.761812133,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-11-01 00:00:00.000,5.700965367,FORECAST 1,5.37990816,6.008744934,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-11-01 00:00:00.000,4.151805556,FORECAST 2,3.83074835,4.459585124,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-12-01 00:00:00.000,6.052282905,FORECAST 1,5.717740375,6.390261689,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2025-12-01 00:00:00.000,4.51752756,FORECAST 2,4.182985016,4.85550633,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2026-01-01 00:00:00.000,6.271204184,FORECAST 1,5.926161438,6.653159939,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2026-01-01 00:00:00.000,4.748750284,FORECAST 2,4.40370754,5.13070604,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2026-02-01 00:00:00.000,5.487100761,FORECAST 1,5.085617733,5.920191364,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2026-02-01 00:00:00.000,3.964646891,FORECAST 2,3.563163857,4.397737488,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2026-03-01 00:00:00.000,6.633554092,FORECAST 1,6.203202564,7.103496334,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2026-03-01 00:00:00.000,5.111100222,FORECAST 2,4.680748689,5.581042458,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2026-04-01 00:00:00.000,6.043521874,FORECAST 1,5.559733826,6.550647617,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2026-04-01 00:00:00.000,5.290518676,FORECAST 2,4.806730628,5.797644418,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2026-05-01 00:00:00.000,6.023134146,FORECAST 1,5.509141837,6.57746027,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 1L x 1uds,2026-05-01 00:00:00.000,5.270130948,FORECAST 2,4.756138639,5.824457072,Antioquia,Agua,Agua Sin Gas 1L x 1uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-01-01 00:00:00.000,127.32,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-02-01 00:00:00.000,77.1,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-03-01 00:00:00.000,127.02,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-04-01 00:00:00.000,122.52,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-05-01 00:00:00.000,135.18,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-06-01 00:00:00.000,206.88,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-07-01 00:00:00.000,153.48,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-08-01 00:00:00.000,156.9,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-09-01 00:00:00.000,179.64,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-10-01 00:00:00.000,187.26,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-11-01 00:00:00.000,160.74,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2023-12-01 00:00:00.000,156.72,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-01-01 00:00:00.000,177.12,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-02-01 00:00:00.000,128.52,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-03-01 00:00:00.000,113.88,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-04-01 00:00:00.000,157.14,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-05-01 00:00:00.000,170.82,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-06-01 00:00:00.000,181.08,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-07-01 00:00:00.000,232.5,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-08-01 00:00:00.000,199.2,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-09-01 00:00:00.000,168.66,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-10-01 00:00:00.000,180.72,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
Antioquia-Agua-Agua Sin Gas 5L x 12uds,2024-11-01 00:00:00.000,154.56,ACTUAL,,,Antioquia,Agua,Agua Sin Gas 5L x 12uds
