MES,NOMBRE_REGION,CATEGORIA,NOMBRE_PRODUCTO,REGION_CATEGORIA_PRODUCTO,TICKETS,CANTIDAD,PRECIO_PROMEDIO,VENTAS_TOTALES,VENTAS_BRUTAS,DESCUENTOS,DESC_PORCENTAJE,COSTOS,GANANCIA_BRUTA,MARGEN_GANANCIA_BRUTA_PORCENTAJE,M3_VENDIDOS
2023-01-01,Antioquia,Bebida de Té,Té Verde 500mL x 12uds,Antioquia-Bebida de Té-Té Verde 500mL x 12uds,37,364,36000.00000000,12324600.00000000,13104000.00,779400.00000000,5.947802197800,6552000.00,5772600.00000000,46.838031254600,2.184000000000
2023-01-01,Antioquia,Bebida Energética,Power Up 500mL x 6uds,Antioquia-Bebida Energética-Power Up 500mL x 6uds,33,410,30000.00000000,11221500.00000000,12300000.00,1078500.00000000,8.768292682900,5535000.00,5686500.00000000,50.675043443400,1.230000000000
2023-01-01,Antioquia,Jugo,Jugo Naranja 2000mL x 24uds,Antioquia-Jugo-Jugo Naranja 2000mL x 24uds,29,267,192000.00000000,46053120.00000000,51264000.00,5210880.00000000,10.164794007500,28195200.00,17857920.00000000,38.776786458800,12.816000000000
2023-01-01,Antioquia,Jugo,Jugo Lima 1000mL x 6uds,Antioquia-Jugo-Jugo Lima 1000mL x 6uds,38,460,24000.00000000,9723360.00000000,11040000.00,1316640.00000000,11.926086956500,6072000.00,3651360.00000000,37.552451004600,2.760000000000
2023-01-01,Antioquia,Jugo,Jugo Lima 2000mL x 12uds,Antioquia-Jugo-Jugo Lima 2000mL x 12uds,47,530,96000.00000000,45115200.00000000,50880000.00,5764800.00000000,11.330188679200,27984000.00,17131200.00000000,37.972124694100,12.720000000000
2023-01-01,Antioquia,Agua,Agua con Gas 500mL x 6uds,Antioquia-Agua-Agua con Gas 500mL x 6uds,24,258,7500.00000000,1729350.00000000,1935000.00,205650.00000000,10.627906976700,774000.00,955350.00000000,55.243299505600,0.774000000000
2023-01-01,Antioquia,Bebida de Té,Té Negro 500mL x 6uds,Antioquia-Bebida de Té-Té Negro 500mL x 6uds,40,430,18000.00000000,7112340.00000000,7740000.00,627660.00000000,8.109302325600,3870000.00,3242340.00000000,45.587528155300,1.290000000000
2023-01-01,Antioquia,Gaseosa,Cola 600mL x 24uds,Antioquia-Gaseosa-Cola 600mL x 24uds,39,390,50400.00000000,17331048.00000000,19656000.00,2324952.00000000,11.828205128200,10108800.00,7222248.00000000,41.672309718400,5.616000000000
2023-01-01,Antioquia,Agua,Agua Sin Gas 1L x 1uds,Antioquia-Agua-Agua Sin Gas 1L x 1uds,37,478,2500.00000000,1080775.00000000,1195000.00,114225.00000000,9.558577405900,478000.00,602775.00000000,55.772478082900,0.478000000000
2023-01-01,Antioquia,Agua,Agua Sin Gas 1L x 6uds,Antioquia-Agua-Agua Sin Gas 1L x 6uds,67,736,15000.00000000,10038000.00000000,11040000.00,1002000.00000000,9.076086956500,4416000.00,5622000.00000000,56.007172743600,4.416000000000
2023-01-01,Antioquia,Gaseosa,Uva 600mL x 24uds,Antioquia-Gaseosa-Uva 600mL x 24uds,34,448,50400.00000000,20820240.00000000,22579200.00,1758960.00000000,7.790178571400,11612160.00,9208080.00000000,44.226579520700,6.451200000000
2023-01-01,Antioquia,Jugo,Jugo Manzana 2000mL x 24uds,Antioquia-Jugo-Jugo Manzana 2000mL x 24uds,39,358,192000.00000000,60090240.00000000,68736000.00,8645760.00000000,12.578212290500,37804800.00,22285440.00000000,37.086621720900,17.184000000000
2023-01-01,Antioquia,Agua,Agua con Gas 5L x 1uds,Antioquia-Agua-Agua con Gas 5L x 1uds,46,561,12500.00000000,6530750.00000000,7012500.00,481750.00000000,6.869875222800,2805000.00,3725750.00000000,57.049343490400,2.805000000000
2023-01-01,Antioquia,Bebida de Té,Té Verde 300mL x 6uds,Antioquia-Bebida de Té-Té Verde 300mL x 6uds,31,328,10800.00000000,3326508.00000000,3542400.00,215892.00000000,6.094512195100,1771200.00,1555308.00000000,46.754975487800,0.590400000000
2023-01-01,Atlántico,Jugo,Jugo Naranja 2000mL x 24uds,Atlántico-Jugo-Jugo Naranja 2000mL x 24uds,32,377,192000.00000000,67760640.00000000,72384000.00,4623360.00000000,6.387267904500,39811200.00,27949440.00000000,41.247308171800,18.096000000000
2023-01-01,Atlántico,Bebida Energética,Power Up 500mL x 6uds,Atlántico-Bebida Energética-Power Up 500mL x 6uds,28,300,30000.00000000,8266200.00000000,9000000.00,733800.00000000,8.153333333300,4050000.00,4216200.00000000,51.005298686200,0.900000000000
2023-01-01,Atlántico,Agua,Agua con Gas 5L x 1uds,Atlántico-Agua-Agua con Gas 5L x 1uds,25,222,12500.00000000,2515000.00000000,2775000.00,260000.00000000,9.369369369400,1110000.00,1405000.00000000,55.864811133200,1.110000000000
2023-01-01,Atlántico,Bebida de Té,Té Verde 300mL x 6uds,Atlántico-Bebida de Té-Té Verde 300mL x 6uds,34,367,10800.00000000,3467124.00000000,3963600.00,496476.00000000,12.525885558600,1981800.00,1485324.00000000,42.840233000000,0.660600000000
2023-01-01,Atlántico,Jugo,Jugo Lima 1000mL x 6uds,Atlántico-Jugo-Jugo Lima 1000mL x 6uds,14,173,24000.00000000,3801600.00000000,4152000.00,350400.00000000,8.439306358400,2283600.00,1518000.00000000,39.930555555600,1.038000000000
2023-01-01,Atlántico,Jugo,Jugo Lima 2000mL x 12uds,Atlántico-Jugo-Jugo Lima 2000mL x 12uds,25,299,96000.00000000,24572160.00000000,28704000.00,4131840.00000000,14.394648829400,15787200.00,8784960.00000000,35.751679950000,7.176000000000
2023-01-01,Atlántico,Gaseosa,Cola 600mL x 24uds,Atlántico-Gaseosa-Cola 600mL x 24uds,26,329,50400.00000000,15065064.00000000,16581600.00,1516536.00000000,9.145896656500,8527680.00,6537384.00000000,43.394332742300,4.737600000000
2023-01-01,Atlántico,Jugo,Jugo Manzana 2000mL x 24uds,Atlántico-Jugo-Jugo Manzana 2000mL x 24uds,29,283,192000.00000000,47262720.00000000,54336000.00,7073280.00000000,13.017667844500,29884800.00,17377920.00000000,36.768768280800,13.584000000000
2023-01-01,Atlántico,Bebida de Té,Té Negro 500mL x 6uds,Atlántico-Bebida de Té-Té Negro 500mL x 6uds,32,339,18000.00000000,5420520.00000000,6102000.00,681480.00000000,11.168141592900,3051000.00,2369520.00000000,43.713887228500,1.017000000000
