REGION_CATEGORIA_PRODUCTO,MES,ORIGEN,M3_PRODUCTO,LOWER_BOUND,UPPER_BOUND,REGION,CATEGORIA,PRODUCTO,PERCENT_CHANGE_MONTH_OVER_MONTH
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-01-01 00:00:00.000,ACTUAL,0.319,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-02-01 00:00:00.000,ACTUAL,0.329,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,3.1
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-03-01 00:00:00.000,ACTUAL,0.488,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,48.3
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-04-01 00:00:00.000,ACTUAL,0.704,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,44.3
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-05-01 00:00:00.000,ACTUAL,0.162,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-77
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-06-01 00:00:00.000,ACTUAL,0.932,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,475.3
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-07-01 00:00:00.000,ACTUAL,0.962,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,3.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-08-01 00:00:00.000,ACTUAL,1.219,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,26.7
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-09-01 00:00:00.000,ACTUAL,0.529,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-56.6
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-10-01 00:00:00.000,ACTUAL,1.123,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,112.3
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-11-01 00:00:00.000,ACTUAL,1.008,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-10.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2023-12-01 00:00:00.000,ACTUAL,1.64,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,62.7
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-01-01 00:00:00.000,ACTUAL,1.867,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,13.8
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-02-01 00:00:00.000,ACTUAL,1.011,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-45.8
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-03-01 00:00:00.000,ACTUAL,1.228,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,21.5
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-04-01 00:00:00.000,ACTUAL,1.446,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,17.8
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-05-01 00:00:00.000,ACTUAL,1.499,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,3.7
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-06-01 00:00:00.000,ACTUAL,1.891,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,26.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-07-01 00:00:00.000,ACTUAL,2.348,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,24.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-08-01 00:00:00.000,ACTUAL,2.295,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-2.3
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-09-01 00:00:00.000,ACTUAL,1.494,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-34.9
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-10-01 00:00:00.000,ACTUAL,2.079,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,39.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-11-01 00:00:00.000,ACTUAL,2.436,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,17.2
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2024-12-01 00:00:00.000,ACTUAL,2.218,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-8.9
Antioquia-Agua-ACHE2O Con Gas 1L x 1uds,2025-01-01 00:00:00.000,ACTUAL,1.885,,,Antioquia,Agua,ACHE2O Con Gas 1L x 1uds,-15
