REGION_CATEGORIA_PRODUCTO,MES,M3_VENDIDOS,AVG_PRECIO_LISTA,AVG_DESC_PORCENTAJE
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2023-06-01 00:00:00.000,0.096000,45830.93000000,10.500000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2023-07-01 00:00:00.000,0.120000,48048.10000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2023-08-01 00:00:00.000,0.120000,49892.96000000,3.400000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2023-09-01 00:00:00.000,0.048000,50796.42000000,6.500000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2023-10-01 00:00:00.000,0.156000,52668.25000000,4.538461538500
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2023-11-01 00:00:00.000,0.072000,53591.14000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2023-12-01 00:00:00.000,0.132000,55864.16000000,4.818181818200
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-01-01 00:00:00.000,0.096000,56521.40000000,4.500000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-02-01 00:00:00.000,0.132000,59024.16000000,7.909090909100
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-03-01 00:00:00.000,0.108000,61274.04000000,4.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-04-01 00:00:00.000,0.132000,63640.61000000,10.181818181800
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-05-01 00:00:00.000,0.060000,65006.38000000,11.200000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-06-01 00:00:00.000,0.060000,66611.51000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-07-01 00:00:00.000,0.132000,68728.67000000,1.454545454500
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-08-01 00:00:00.000,0.108000,71895.19000000,2.555555555600
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-09-01 00:00:00.000,0.084000,74169.28000000,2.285714285700
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-10-01 00:00:00.000,0.060000,76807.67000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-11-01 00:00:00.000,0.156000,79358.34000000,6.615384615400
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2024-12-01 00:00:00.000,0.084000,83273.92000000,4.142857142900
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-01-01 00:00:00.000,0.156000,84598.42000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-02-01 00:00:00.000,0.072000,88454.18000000,7.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-03-01 00:00:00.000,0.084000,90781.68000000,4.285714285700
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-04-01 00:00:00.000,0.096000,92003.40000000,6.250000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-05-01 00:00:00.000,0.144000,93429.97000000,6.583333333300
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-06-01 00:00:00.000,0.084000,23194.41000000,4.285714285700
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-07-01 00:00:00.000,0.042000,23802.74000000,2.142857142900
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-08-01 00:00:00.000,0.066000,24080.43000000,8.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-09-01 00:00:00.000,0.048000,25036.72000000,3.250000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-10-01 00:00:00.000,0.042000,25487.52000000,6.142857142900
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-11-01 00:00:00.000,0.060000,26504.24000000,4.500000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2023-12-01 00:00:00.000,0.048000,27484.06000000,3.875000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-01-01 00:00:00.000,0.030000,28658.03000000,4.600000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-02-01 00:00:00.000,0.048000,29006.93000000,3.500000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-03-01 00:00:00.000,0.048000,29954.70000000,11.500000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-04-01 00:00:00.000,0.030000,30556.59000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-05-01 00:00:00.000,0.048000,31240.94000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-06-01 00:00:00.000,0.042000,31779.43000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-07-01 00:00:00.000,0.030000,32732.30000000,0.000000000000
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-08-01 00:00:00.000,0.078000,34002.27000000,5.692307692300
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-09-01 00:00:00.000,0.066000,34873.75000000,12.272727272700
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2024-10-01 00:00:00.000,0.048000,36506.98000000,7.375000000000
