REGION_CATEGORIA_PRODUCTO,MES,AVG_PRECIO_LISTA,AVG_DESC_PORCENTAJE
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-06-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-07-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-08-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-09-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-10-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-11-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2025-12-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-01-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-02-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-03-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-04-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,2026-05-01 00:00:00.000,98200,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-06-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-07-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-08-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-09-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-10-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-11-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2025-12-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-01-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-02-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-03-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-04-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 1L x 6uds,2026-05-01 00:00:00.000,44700,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-06-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-07-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-08-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-09-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-10-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-11-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2025-12-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2026-01-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2026-02-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2026-03-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2026-04-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 12uds,2026-05-01 00:00:00.000,50000,6
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-06-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-07-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-08-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-09-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-10-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-11-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2025-12-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2026-01-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2026-02-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2026-03-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2026-04-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 500mL x 6uds,2026-05-01 00:00:00.000,23300,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-06-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-07-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-08-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-09-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-10-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-11-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2025-12-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2026-01-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2026-02-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2026-03-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2026-04-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 12uds,2026-05-01 00:00:00.000,451000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-06-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-07-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-08-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-09-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-10-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-11-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2025-12-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2026-01-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2026-02-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2026-03-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2026-04-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Con Gas 5L x 6uds,2026-05-01 00:00:00.000,255000,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-06-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-07-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-08-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-09-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-10-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-11-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2025-12-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2026-01-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2026-02-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2026-03-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2026-04-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 12uds,2026-05-01 00:00:00.000,85200,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-06-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-07-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-08-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-09-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-10-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-11-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2025-12-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2026-01-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2026-02-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2026-03-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2026-04-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 1L x 6uds,2026-05-01 00:00:00.000,49300,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2025-06-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2025-07-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2025-08-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2025-09-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2025-10-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2025-11-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2025-12-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2026-01-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2026-02-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2026-03-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2026-04-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 12uds,2026-05-01 00:00:00.000,45800,5
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2025-06-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2025-07-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2025-08-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2025-09-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2025-10-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2025-11-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2025-12-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2026-01-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2026-02-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2026-03-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2026-04-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 500mL x 6uds,2026-05-01 00:00:00.000,22700,3
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2025-06-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2025-07-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2025-08-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2025-09-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2025-10-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2025-11-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2025-12-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2026-01-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2026-02-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2026-03-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2026-04-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 12uds,2026-05-01 00:00:00.000,502700,4
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2025-06-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2025-07-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2025-08-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2025-09-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2025-10-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2025-11-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2025-12-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2026-01-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2026-02-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2026-03-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2026-04-01 00:00:00.000,255500,5
Antioquia-Agua-ACHE2O Sin Gas 5L x 6uds,2026-05-01 00:00:00.000,255500,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2025-06-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2025-07-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2025-08-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2025-09-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2025-10-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2025-11-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2025-12-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2026-01-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2026-02-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2026-03-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2026-04-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 12uds,2026-05-01 00:00:00.000,99200,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2025-06-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2025-07-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2025-08-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2025-09-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2025-10-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2025-11-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2025-12-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2026-01-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2026-02-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2026-03-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2026-04-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 24uds,2026-05-01 00:00:00.000,190700,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2025-06-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2025-07-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2025-08-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2025-09-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2025-10-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2025-11-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2025-12-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2026-01-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2026-02-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2026-03-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2026-04-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 250mL x 6uds,2026-05-01 00:00:00.000,52900,5
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2025-06-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2025-07-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2025-08-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2025-09-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2025-10-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2025-11-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2025-12-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2026-01-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2026-02-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2026-03-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2026-04-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 12uds,2026-05-01 00:00:00.000,193900,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2025-06-01 00:00:00.000,332100,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2025-07-01 00:00:00.000,332100,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2025-08-01 00:00:00.000,332100,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2025-09-01 00:00:00.000,332100,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2025-10-01 00:00:00.000,332100,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2025-11-01 00:00:00.000,332100,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2025-12-01 00:00:00.000,332100,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2026-01-01 00:00:00.000,332100,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2026-02-01 00:00:00.000,332100,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2026-03-01 00:00:00.000,332100,6
Antioquia-Bebida Energética-Power Cell Booster Guaraná 500mL x 24uds,2026-04-01 00:00:00.000,332100,6
