NOMBRE_REGION,CATEGORIA,NOMBRE_PRODUCTO,MARCA,MES,M3_VENDIDOS,REGION_CATEGORIA_PRODUCTO,TICKETS,CANTIDAD,PRECIO_PROMEDIO,VENTAS_TOTALES,VENTAS_BRUTAS,DESCUENTOS,DESC_PORCENTAJE,COSTOS,GANANCIA_NETA,MARGEN_GANANCIA_NETA_PORCENTAJE
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2022-07-01,0.132000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,11,11,34613.55000000,375903.15300000,380749.05,4845.89700000,1.272727272700,136700.52,239202.63300000,63.634111895800
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2022-08-01,0.108000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,9,9,36250.14000000,326251.26000000,326251.26,0.00000000,0.000000000000,112041.18,214210.08000000,65.658008493200
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2022-09-01,0.084000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,7,7,36775.89000000,242720.87400000,257431.23,14710.35600000,5.714285714300,87774.75,154946.12400000,63.837164660200
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2022-10-01,0.120000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,10,10,37813.33000000,356579.70190000,378133.30,21553.59810000,5.700000000000,126504.00,230075.70190000,64.522938539100
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2022-11-01,0.108000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,9,9,39242.55000000,346511.71650000,353182.95,6671.23350000,1.888888888900,114164.55,232347.16650000,67.053191980600
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2022-12-01,0.120000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,10,10,39670.39000000,382025.85570000,396703.90,14678.04430000,3.700000000000,127564.00,254461.85570000,66.608542825900
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-01-01,0.096000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,8,8,40167.51000000,321340.08000000,321340.08,0.00000000,0.000000000000,102757.20,218582.88000000,68.022289656500
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-02-01,0.096000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,8,8,40915.39000000,310956.96400000,327323.12,16366.15600000,5.000000000000,103165.68,207791.28400000,66.823164635700
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-03-01,0.132000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,11,11,41942.24000000,432843.91680000,461364.64,28520.72320000,6.181818181800,141905.50,290938.41680000,67.215549418100
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-04-01,0.096000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,8,8,43087.24000000,324446.91720000,344697.92,20251.00280000,5.875000000000,103684.64,220762.27720000,68.042649042600
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-05-01,0.132000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,11,11,43819.76000000,450905.33040000,482017.36,31112.02960000,6.454545454500,142585.30,308320.03040000,68.377996358200
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-06-01,0.096000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,8,8,45830.93000000,328149.45880000,366647.44,38497.98120000,10.500000000000,104379.28,223770.17880000,68.191542847100
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-07-01,0.120000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,10,10,48048.10000000,480481.00000000,480481.00,0.00000000,0.000000000000,131617.50,348863.50000000,72.607137431000
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-08-01,0.120000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,10,10,49892.96000000,481965.99360000,498929.60,16963.60640000,3.400000000000,132563.70,349402.29360000,72.495217139700
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-09-01,0.048000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,4,4,50796.42000000,189978.61080000,203185.68,13207.06920000,6.500000000000,53167.20,136811.41080000,72.014112654000
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-10-01,0.156000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,13,13,52668.25000000,653612.98250000,684687.25,31074.26750000,4.538461538500,174457.79,479155.19250000,73.308701835600
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-11-01,0.072000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,6,6,53591.14000000,321546.84000000,321546.84,0.00000000,0.000000000000,81074.28,240472.56000000,74.786168012100
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2023-12-01,0.132000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,11,11,55864.16000000,584897.75520000,614505.76,29608.00480000,4.818181818200,150116.34,434781.41520000,74.334601446900
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2024-01-01,0.096000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,8,8,56521.40000000,431823.49600000,452171.20,20347.70400000,4.500000000000,109790.40,322033.09600000,74.575167628200
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2024-02-01,0.132000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,11,11,59024.16000000,597914.74080000,649265.76,51351.01920000,7.909090909100,151805.61,446109.13080000,74.610826654500
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2024-03-01,0.108000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,9,9,61274.04000000,529407.70560000,551466.36,22058.65440000,4.000000000000,125188.29,404219.41560000,76.353141694800
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2024-04-01,0.132000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,11,11,63640.61000000,628769.22680000,700046.71,71277.48320000,10.181818181800,154143.99,474625.23680000,75.484806916400
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2024-05-01,0.060000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,5,5,65006.38000000,288628.32720000,325031.90,36403.57280000,11.200000000000,70127.40,218500.92720000,75.703216423600
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2024-06-01,0.060000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,5,5,66611.51000000,333057.55000000,333057.55,0.00000000,0.000000000000,70702.95,262354.60000000,78.771551643300
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2024-07-01,0.132000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,11,11,68728.67000000,745018.78280000,756015.37,10996.58720000,1.454545454500,156127.07,588891.71280000,79.043874650600
Antioquia,Agua,ACHE2O Con Gas 1L x 12uds,Zulianita,2024-08-01,0.108000,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,9,9,71895.19000000,630520.81630000,647056.71,16535.89370000,2.555555555600,128667.96,501852.85630000,79.593384282700
