Row ID,REGION-CATEGORIA-PRODUCTO,MES,LITROS,AVG_PRECIO_LISTA,AVG_DESC_PORCENTAJE,ORIGEN,LITROS(-1),Prediction (LITROS),REGION,CATEGORIA,PRODUCTO
Row11#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/7/2022,132.0,"34,613.6",1.3,ACTUAL, ,114.1,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row12#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/8/2022,108.0,"36,250.1",0.0,ACTUAL,132.0,103.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row13#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/9/2022,84.0,"36,775.9",5.7,ACTUAL,108.0,84.3,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row14#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/10/2022,120.0,"37,813.3",5.7,ACTUAL,84.0,115.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row15#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/11/2022,108.0,"39,242.6",1.9,ACTUAL,120.0,103.9,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row16#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/12/2022,120.0,"39,670.4",3.7,ACTUAL,108.0,117.0,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row17#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/1/2023,96.0,"40,167.5",0.0,ACTUAL,120.0,99.1,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row18#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/2/2023,96.0,"40,915.4",5.0,ACTUAL,96.0,103.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row19#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/3/2023,132.0,"41,942.2",6.2,ACTUAL,96.0,101.7,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row20#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/4/2023,96.0,"43,087.2",5.9,ACTUAL,132.0,89.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row21#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/5/2023,132.0,"43,819.8",6.5,ACTUAL,96.0,116.1,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row22#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/6/2023,96.0,"45,830.9",10.5,ACTUAL,132.0,90.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row23#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/7/2023,120.0,"48,048.1",0.0,ACTUAL,96.0,114.1,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row24#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/8/2023,120.0,"49,893.0",3.4,ACTUAL,120.0,107.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row25#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/9/2023,48.0,"50,796.4",6.5,ACTUAL,120.0,60.7,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row26#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/10/2023,156.0,"52,668.3",4.5,ACTUAL,48.0,122.4,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row27#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/11/2023,72.0,"53,591.1",0.0,ACTUAL,156.0,73.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row28#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/12/2023,132.0,"55,864.2",4.8,ACTUAL,72.0,120.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row29#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/1/2024,96.0,"56,521.4",4.5,ACTUAL,132.0,92.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row30#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/2/2024,132.0,"59,024.2",7.9,ACTUAL,96.0,104.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row31#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/3/2024,108.0,"61,274.0",4.0,ACTUAL,132.0,94.1,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row32#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/4/2024,132.0,"63,640.6",10.2,ACTUAL,108.0,120.9,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row33#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/5/2024,60.0,"65,006.4",11.2,ACTUAL,132.0,91.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row34#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/6/2024,60.0,"66,611.5",0.0,ACTUAL,60.0,112.0,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row35#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/7/2024,132.0,"68,728.7",1.5,ACTUAL,60.0,116.2,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row36#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/8/2024,108.0,"71,895.2",2.6,ACTUAL,132.0,106.9,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row37#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/9/2024,84.0,"74,169.3",2.3,ACTUAL,108.0,106.7,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row38#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/10/2024,60.0,"76,807.7",0.0,ACTUAL,84.0,121.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row39#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/11/2024,156.0,"79,358.3",6.6,ACTUAL,60.0,123.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row40#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/12/2024,84.0,"83,273.9",4.1,ACTUAL,156.0,81.4,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row41#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/1/2025,156.0,"84,598.4",0.0,ACTUAL,84.0,112.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row42#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/2/2025,72.0,"88,454.2",7.0,ACTUAL,156.0,66.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row43#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/3/2025,84.0,"90,781.7",4.3,ACTUAL,72.0,124.3,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row44#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/4/2025,96.0,"92,003.4",6.3,ACTUAL,84.0,132.5,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row45#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/5/2025,144.0,"93,430.0",6.6,ACTUAL,96.0,126.7,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row46#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/6/2025,,"80,900.0",3.0,ESCENARIO 1,144.0,81.5,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row47#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/7/2025,,"82,200.0",4.0,ESCENARIO 1,144.0,79.5,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row48#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/8/2025,,"83,500.0",4.0,ESCENARIO 1,144.0,83.5,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row49#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/9/2025,,"84,800.0",4.0,ESCENARIO 1,144.0,66.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row50#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/10/2025,,"86,100.0",4.0,ESCENARIO 1,144.0,80.1,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row51#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/11/2025,,"87,500.0",5.0,ESCENARIO 1,144.0,73.0,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row52#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/12/2025,,"88,800.0",5.0,ESCENARIO 1,144.0,77.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row53#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/1/2026,,"89,900.0",5.0,ESCENARIO 1,144.0,71.3,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row54#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/2/2026,,"91,200.0",6.0,ESCENARIO 1,144.0,65.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row55#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/3/2026,,"92,100.0",6.0,ESCENARIO 1,144.0,56.9,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row56#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/4/2026,,"92,800.0",6.0,ESCENARIO 1,144.0,73.5,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row57#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/5/2026,,"93,500.0",7.0,ESCENARIO 1,144.0,75.0,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row58#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/6/2025,,"98,200.0",4.0,ESCENARIO 2,144.0,80.9,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row59#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/7/2025,,"98,200.0",4.0,ESCENARIO 2,144.0,78.7,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row60#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/8/2025,,"98,200.0",4.0,ESCENARIO 2,144.0,82.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row61#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/9/2025,,"98,200.0",4.0,ESCENARIO 2,144.0,67.9,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row62#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/10/2025,,"98,200.0",4.0,ESCENARIO 2,144.0,82.4,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row63#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/11/2025,,"98,200.0",4.0,ESCENARIO 2,144.0,77.5,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row64#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/12/2025,,"98,200.0",4.0,ESCENARIO 2,144.0,81.7,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row65#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/1/2026,,"98,200.0",4.0,ESCENARIO 2,144.0,77.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row66#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/2/2026,,"98,200.0",4.0,ESCENARIO 2,144.0,81.2,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row67#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/3/2026,,"98,200.0",4.0,ESCENARIO 2,144.0,77.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row68#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/4/2026,,"98,200.0",4.0,ESCENARIO 2,144.0,85.1,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row69#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/5/2026,,"98,200.0",4.0,ESCENARIO 2,144.0,80.2,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row70#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/6/2025,,"121,500.0",4.0,ESCENARIO 3,144.0,77.0,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row71#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/7/2025,,"121,500.0",4.0,ESCENARIO 3,144.0,75.6,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row72#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/8/2025,,"121,500.0",4.0,ESCENARIO 3,144.0,79.7,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row73#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/9/2025,,"121,500.0",4.0,ESCENARIO 3,144.0,69.0,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row74#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/10/2025,,"121,500.0",4.0,ESCENARIO 3,144.0,79.7,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row75#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/11/2025,,"121,500.0",4.0,ESCENARIO 3,144.0,74.3,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row76#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/12/2025,,"121,500.0",4.0,ESCENARIO 3,144.0,77.7,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row77#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/1/2026,,"121,500.0",4.0,ESCENARIO 3,144.0,74.8,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row78#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/2/2026,,"121,500.0",4.0,ESCENARIO 3,144.0,78.5,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
Row79#0,Antioquia-Agua-ACHE2O Con Gas 1L x 12uds,1/3/2026,,"121,500.0",4.0,ESCENARIO 3,144.0,78.4,Antioquia,Agua,ACHE2O Con Gas 1L x 12uds
