Fecha,%_SLA,AHT (avg),HC COVERAGE (avg),INFLOW,ORDERS,REAL HC (AVG),WITHIN SLA,OUT OF SLA,% CSAT SCORE,HC_INFLOW,Average of RT (Min)
2024-11-25 00:00:00,"88,4 %",7.361041666666666,"159,7 %",10977,552329,92,9705,1272,"41,7 %",2.250820537304526,230.82958333333332
2024-11-26 00:00:00,"72,5 %",7.423749999999999,"147,7 %",11620,561206,87,8420,3200,"39,7 %",2.4218110434510374,240.79416666666668
2024-11-27 00:00:00,"72,8 %",6.791250000000001,"146,5 %",12782,583104,86,9310,3472,"39,5 %",2.6578199978050376,226.02958333333333
2024-11-28 00:00:00,"58,7 %",7.41375,"145,9 %",12252,619780,84,7187,5065,"38,5 %",2.689572773581648,233.08270833333333
2024-11-29 00:00:00,"78,8 %",7.981875,"134,0 %",14524,744957,100,11452,3072,"36,5 %",2.5520567679292125,220.00875
2024-11-30 00:00:00,"80,0 %",7.388333333333333,"129,4 %",14514,790485,99,11604,2910,"36,3 %",2.6337920583282783,263.59291666666667
2024-12-01 00:00:00,"82,8 %",7.557708333333333,"123,4 %",15825,815909,95,13106,2719,"34,9 %",2.9296634822362386,300.593125
2024-12-02 00:00:00,"85,6 %",7.831666666666667,"144,8 %",12119,562495,84,10371,1748,"36,6 %",2.6094839126688294,295.61104166666667
2024-12-03 00:00:00,"35,6 %",7.823958333333334,"146,0 %",18193,563800,87,6477,11716,"54,1 %",3.6834243009442402,258.5310416666667
2024-12-04 00:00:00,"77,0 %",6.529583333333334,"137,5 %",12327,580966,82,9494,2833,"43,0 %",2.877505332664757,202.39229166666667
2024-12-05 00:00:00,"84,8 %",8.110833333333334,"139,8 %",11368,613136,82,9637,1731,"37,4 %",2.482920666866667,171.09687499999998
2024-12-06 00:00:00,"80,7 %",7.1504166666666675,"133,3 %",13019,700236,90,10505,2514,"39,6 %",2.576887559594454,112.413125
2024-12-07 00:00:00,"83,8 %",8.454791666666667,"131,4 %",11941,759358,94,10001,1940,"39,8 %",2.3189614588845227,117.93187499999999
2024-12-08 00:00:00,"86,6 %",7.791458333333334,"120,4 %",13197,772388,93,11429,1768,"37,8 %",2.589557104524991,83.94895833333334
