REGION,CATEGORIA,PRODUCTO,VALOR,DATA_TYPE,FECHA,LOWER_BOUND,UPPER_BOUND
Atlántico,Agua,Agua con Gas 500mL x 6uds,0.8586931229,FORECAST,2026-05-01,0.2299071482,1.455370585
Antioquia,Bebida Energética,Power Up 500mL x 6uds,1.693588482,FORECAST,2026-05-01,0.7053621367,2.681814827
Bolívar,Agua,Agua Sin Gas 1L x 6uds,3.237455274,FORECAST,2026-05-01,1.617672248,4.857238299
Atlántico,Jugo,Jugo Manzana 2000mL x 24uds,14.124182673,FORECAST,2026-05-01,6.765495865,21.357455799
Boyacá,Bebida Energética,Power Up 500mL x 6uds,0.02641008679,FORECAST,2026-05-01,-0.006905754373,0.05972592796
Boyacá,Jugo,Jugo Lima 2000mL x 12uds,2.944699129,FORECAST,2026-05-01,-1.652271279,7.541669538
Bolívar,Jugo,Jugo Lima 1000mL x 6uds,1.325032234,FORECAST,2026-05-01,0.02310520571,2.626959215
Meta,Agua,Agua con Gas 5L x 1uds,0.3271236718,FORECAST,2026-05-01,-0.6409235791,1.295170917
Norte de Santander,Bebida Energética,Power Up 500mL x 6uds,0.3409898543,FORECAST,2026-05-01,0.09410636786,0.5826413103
Cundinamarca,Bebida de Té,Té Negro 500mL x 6uds,1.268291182,FORECAST,2026-05-01,0.4578977607,2.078684603
Cundinamarca,Bebida de Té,Té Verde 300mL x 6uds,0.9123850075,FORECAST,2026-05-01,0.5755734831,1.231375503
Boyacá,Agua,Agua con Gas 5L x 1uds,0.196985193,FORECAST,2026-05-01,-0.203726372,0.5976967674
Santander,Bebida de Té,Té Verde 500mL x 12uds,0.5538272069,FORECAST,2026-05-01,-0.252217305,1.338538663
Meta,Bebida de Té,Té Verde 300mL x 6uds,0.1615273995,FORECAST,2026-05-01,-0.211401549,0.5344563383
Santander,Jugo,Jugo Manzana 2000mL x 24uds,6.171456575,FORECAST,2026-05-01,2.104129255,10.2347916
Norte de Santander,Agua,Agua Sin Gas 1L x 1uds,0.115258483,FORECAST,2026-05-01,0.01334208553,0.2171748805
Valle del Cauca,Gaseosa,Cola 600mL x 24uds,2.184632449,FORECAST,2026-05-01,0.910625264,3.458639588
Bolívar,Bebida de Té,Té Verde 300mL x 6uds,0.5120921478,FORECAST,2026-05-01,0.2388138823,0.7750280221
Valle del Cauca,Bebida de Té,Té Verde 500mL x 12uds,1.831620047,FORECAST,2026-05-01,1.010844324,2.65239588
Atlántico,Gaseosa,Cola 600mL x 24uds,2.382856345,FORECAST,2026-05-01,-0.05831269172,4.609375395
Antioquia,Bebida de Té,Té Negro 500mL x 6uds,1.171259329,FORECAST,2026-05-01,0.3638833551,1.978635303
Boyacá,Bebida de Té,Té Negro 500mL x 6uds,0.09359634668,FORECAST,2026-05-01,-0.05386705682,0.2410597502
Atlántico,Jugo,Jugo Naranja 2000mL x 24uds,36.43453598,FORECAST,2026-05-01,18.378263209,54.490808751
Antioquia,Jugo,Jugo Lima 1000mL x 6uds,3.286401263,FORECAST,2026-05-01,2.438180483,4.093012995
Tolima,Agua,Agua Sin Gas 1L x 6uds,1.07231382,FORECAST,2026-05-01,0.2262912572,1.906973662
Meta,Agua,Agua Sin Gas 1L x 1uds,0.01451850183,FORECAST,2026-05-01,-0.05879135024,0.08138227909
Meta,Jugo,Jugo Manzana 2000mL x 24uds,0.1658476693,FORECAST,2026-05-01,-0.916141745,1.247837083
Cundinamarca,Agua,Agua Sin Gas 1L x 6uds,8.661864402,FORECAST,2026-05-01,6.915195234,10.40853357
Boyacá,Jugo,Jugo Naranja 2000mL x 24uds,4.126112286,FORECAST,2026-05-01,0.1570012851,7.969518696
Cundinamarca,Gaseosa,Uva 600mL x 24uds,2.72314299,FORECAST,2026-05-01,-1.344068156,6.786253409
Antioquia,Jugo,Jugo Lima 2000mL x 12uds,28.791896243,FORECAST,2026-05-01,14.990930543,42.170143587
Valle del Cauca,Agua,Agua con Gas 500mL x 6uds,1.430172836,FORECAST,2026-05-01,0.6595530899,2.200792581
Norte de Santander,Gaseosa,Cola 600mL x 24uds,0.05859063283,FORECAST,2026-05-01,-0.3051737894,0.4223550552
Boyacá,Agua,Agua Sin Gas 1L x 6uds,0.3844588063,FORECAST,2026-05-01,-0.08758229271,0.8564999053
Atlántico,Jugo,Jugo Lima 1000mL x 6uds,1.271960549,FORECAST,2026-05-01,0.05350006972,2.444884486
Norte de Santander,Bebida de Té,Té Verde 300mL x 6uds,0.08566531918,FORECAST,2026-05-01,-0.1879057809,0.3525021186
Antioquia,Agua,Agua con Gas 500mL x 6uds,1.391310584,FORECAST,2026-05-01,0.8907557607,1.884762256
Meta,Gaseosa,Uva 600mL x 24uds,0.305217807,FORECAST,2026-05-01,-0.1803098843,0.7953819734
Tolima,Agua,Agua con Gas 500mL x 6uds,0.2000372711,FORECAST,2026-05-01,-0.0749972075,0.4750717498
Meta,Jugo,Jugo Naranja 2000mL x 24uds,4.430938099,FORECAST,2026-05-01,-0.5057015109,9.312307123
Norte de Santander,Gaseosa,Uva 600mL x 24uds,1.294621093,FORECAST,2026-05-01,-1.838378519,4.420373417
Norte de Santander,Jugo,Jugo Naranja 2000mL x 24uds,13.351780973,FORECAST,2026-05-01,7.65471013,18.838298022
Antioquia,Gaseosa,Cola 600mL x 24uds,4.462294102,FORECAST,2026-05-01,2.099033974,6.825554229
Bolívar,Bebida de Té,Té Negro 500mL x 6uds,0.5146348257,FORECAST,2026-05-01,-0.0905793166,1.119848968
Santander,Bebida de Té,Té Verde 300mL x 6uds,0.2948056928,FORECAST,2026-05-01,0.07829146136,0.5113199243
Atlántico,Jugo,Jugo Lima 2000mL x 12uds,21.022279799,FORECAST,2026-05-01,6.186289644,35.858269954
Antioquia,Agua,Agua Sin Gas 1L x 1uds,0.5913878628,FORECAST,2026-05-01,0.3992406423,0.7707239644
Valle del Cauca,Jugo,Jugo Lima 1000mL x 6uds,1.945937753,FORECAST,2026-05-01,-2.537406295,6.429281801
Valle del Cauca,Jugo,Jugo Naranja 2000mL x 24uds,45.083030701,FORECAST,2026-05-01,30.136831141,58.387727165
Tolima,Agua,Agua Sin Gas 1L x 1uds,0.1772951158,FORECAST,2026-05-01,0.02753455054,0.3247015341
Valle del Cauca,Jugo,Jugo Lima 2000mL x 12uds,18.505577703,FORECAST,2026-05-01,8.341283299,28.555214725
Bolívar,Bebida de Té,Té Verde 500mL x 12uds,1.355615575,FORECAST,2026-05-01,0.8855143209,1.825716913
Tolima,Gaseosa,Uva 600mL x 24uds,0.8294658686,FORECAST,2026-05-01,-0.04414745037,1.703079215
Norte de Santander,Jugo,Jugo Lima 2000mL x 12uds,4.13293728,FORECAST,2026-05-01,2.242288117,6.023586444
Cundinamarca,Jugo,Jugo Lima 2000mL x 12uds,46.541889191,FORECAST,2026-05-01,37.865575373,55.218203008
Norte de Santander,Bebida de Té,Té Verde 500mL x 12uds,0.6219755411,FORECAST,2026-05-01,-0.2033436882,1.404147074
Atlántico,Agua,Agua con Gas 5L x 1uds,3.05856823,FORECAST,2026-05-01,1.584517158,4.408907509
Cundinamarca,Jugo,Jugo Naranja 2000mL x 24uds,95.079460144,FORECAST,2026-05-01,12.861645988,177.2972743
Tolima,Bebida de Té,Té Verde 500mL x 12uds,0.06477665985,FORECAST,2026-05-01,-0.1007995899,0.2303529084
Bolívar,Gaseosa,Cola 600mL x 24uds,1.980140628,FORECAST,2026-05-01,0.1015717816,3.794365202
Tolima,Jugo,Jugo Naranja 2000mL x 24uds,6.260517068,FORECAST,2026-05-01,-1.40294441,13.923978682
Antioquia,Jugo,Jugo Naranja 2000mL x 24uds,60.890024755,FORECAST,2026-05-01,44.012975936,77.09091982
Antioquia,Agua,Agua Sin Gas 1L x 6uds,6.8360219,FORECAST,2026-05-01,5.969272461,7.702771238
Atlántico,Agua,Agua Sin Gas 1L x 1uds,0.4978626668,FORECAST,2026-05-01,0.2514027731,0.7278249547
Santander,Agua,Agua con Gas 5L x 1uds,1.45657722,FORECAST,2026-05-01,0.8848366502,1.995223171
Cundinamarca,Gaseosa,Cola 600mL x 24uds,4.370382688,FORECAST,2026-05-01,2.125165625,6.537927263
Tolima,Agua,Agua con Gas 5L x 1uds,0.8335457367,FORECAST,2026-05-01,-0.4576509241,2.124742397
Santander,Bebida Energética,Power Up 500mL x 6uds,0.3616882578,FORECAST,2026-05-01,-0.01447433288,0.7378508377
Tolima,Bebida Energética,Power Up 500mL x 6uds,0.2497841269,FORECAST,2026-05-01,-0.07542571869,0.5749939582
Antioquia,Jugo,Jugo Manzana 2000mL x 24uds,24.922073364,FORECAST,2026-05-01,-2.000852699,51.844999427
Norte de Santander,Agua,Agua con Gas 500mL x 6uds,0.3007811677,FORECAST,2026-05-01,-0.03611275286,0.6376750883
Meta,Jugo,Jugo Lima 2000mL x 12uds,3.055528949,FORECAST,2026-05-01,1.729568932,4.350329001
Santander,Bebida de Té,Té Negro 500mL x 6uds,0.1892458561,FORECAST,2026-05-01,0.02970923464,0.3487824798
Meta,Agua,Agua con Gas 500mL x 6uds,0.2959644726,FORECAST,2026-05-01,0.09800455507,0.4765179385
Santander,Gaseosa,Cola 600mL x 24uds,1.316184681,FORECAST,2026-05-01,0.2516403527,2.322770383
Cundinamarca,Agua,Agua con Gas 5L x 1uds,4.92188406,FORECAST,2026-05-01,3.76020922,6.083559031
Antioquia,Agua,Agua con Gas 5L x 1uds,3.74259305,FORECAST,2026-05-01,0.8368234355,6.648362664
Bolívar,Jugo,Jugo Lima 2000mL x 12uds,11.716766357,FORECAST,2026-05-01,1.605255342,21.828277373
Santander,Agua,Agua con Gas 500mL x 6uds,0.5103772283,FORECAST,2026-05-01,0.01318372986,1.007570727
Tolima,Jugo,Jugo Manzana 2000mL x 24uds,2.611888941,FORECAST,2026-05-01,-0.5764398683,5.800217636
Valle del Cauca,Agua,Agua Sin Gas 1L x 1uds,0.520796265,FORECAST,2026-05-01,0.3125623499,0.7230633741
Valle del Cauca,Agua,Agua Sin Gas 1L x 6uds,4.215069755,FORECAST,2026-05-01,2.731527481,5.568160547
Bolívar,Agua,Agua con Gas 500mL x 6uds,0.5718043214,FORECAST,2026-05-01,0.04775849299,1.077019734
Bolívar,Bebida Energética,Power Up 500mL x 6uds,0.8135870933,FORECAST,2026-05-01,0.3193479756,1.296335695
Valle del Cauca,Bebida Energética,Power Up 500mL x 6uds,0.9438650568,FORECAST,2026-05-01,0.3184115228,1.569318568
Atlántico,Bebida de Té,Té Negro 500mL x 6uds,0.7821414911,FORECAST,2026-05-01,0.2319970367,1.317897361
Antioquia,Gaseosa,Uva 600mL x 24uds,2.429646698,FORECAST,2026-05-01,-0.5408906784,5.400184006
