MES,NOMBRE_REGION,CATEGORIA,NOMBRE_PRODUCTO,REGION_CATEGORIA,CANTIDAD,PRECIO_PROMEDIO,VENTAS_TOTALES,VENTAS_BRUTAS,DESCUENTOS,DESC_PORCENTAJE,COSTOS,GANANCIA_BRUTA,MARGEN_GANANCIA_BRUTA_PORCENTAJE,M3_VENDIDOS
2022-01-01,Antioquia,Agua,Agua Sin Gas 1L x 1uds,Antioquia-Agua,468,2500.00000000,1025900.00000000,1170000.00,144100.00000000,12.316239316200,468000.00,557900.00000000,54.381518666500,0.468000000000
2022-01-01,Antioquia,Gaseosa,Cola 600mL x 24uds,Antioquia-Gaseosa,394,50400.00000000,18682272.00000000,19857600.00,1175328.00000000,5.918781725900,10212480.00,8469792.00000000,45.335984831000,5.673600000000
2022-01-01,Antioquia,Agua,Agua con Gas 5L x 1uds,Antioquia-Agua,544,12500.00000000,6464500.00000000,6800000.00,335500.00000000,4.933823529400,2720000.00,3744500.00000000,57.924046716700,2.720000000000
2022-01-01,Antioquia,Jugo,Jugo Manzana 2000mL x 24uds,Antioquia-Jugo,312,192000.00000000,54581760.00000000,59904000.00,5322240.00000000,8.884615384600,32947200.00,21634560.00000000,39.636977627700,14.976000000000
2022-01-01,Antioquia,Bebida de Té,Té Verde 500mL x 12uds,Antioquia-Bebida de Té,348,36000.00000000,11197440.00000000,12528000.00,1330560.00000000,10.620689655200,6264000.00,4933440.00000000,44.058641975300,2.088000000000
2022-01-01,Antioquia,Jugo,Jugo Lima 1000mL x 6uds,Antioquia-Jugo,396,24000.00000000,8321280.00000000,9504000.00,1182720.00000000,12.444444444400,5227200.00,3094080.00000000,37.182741116800,2.376000000000
2022-01-01,Antioquia,Jugo,Jugo Naranja 2000mL x 24uds,Antioquia-Jugo,448,192000.00000000,77568000.00000000,86016000.00,8448000.00000000,9.821428571400,47308800.00,30259200.00000000,39.009900990100,21.504000000000
2022-01-01,Antioquia,Agua,Agua con Gas 500mL x 6uds,Antioquia-Agua,452,7500.00000000,3020400.00000000,3390000.00,369600.00000000,10.902654867300,1356000.00,1664400.00000000,55.105284068300,1.356000000000
2022-01-01,Antioquia,Bebida Energética,Power Up 500mL x 6uds,Antioquia-Bebida Energética,382,30000.00000000,10404000.00000000,11460000.00,1056000.00000000,9.214659685900,5157000.00,5247000.00000000,50.432525951600,1.146000000000
2022-01-01,Antioquia,Jugo,Jugo Lima 2000mL x 12uds,Antioquia-Jugo,486,96000.00000000,40404480.00000000,46656000.00,6251520.00000000,13.399176954700,25660800.00,14743680.00000000,36.490210986500,11.664000000000
2022-01-01,Antioquia,Bebida de Té,Té Negro 500mL x 6uds,Antioquia-Bebida de Té,506,18000.00000000,8426880.00000000,9108000.00,681120.00000000,7.478260869600,4554000.00,3872880.00000000,45.958646616500,1.518000000000
2022-01-01,Antioquia,Gaseosa,Uva 600mL x 24uds,Antioquia-Gaseosa,312,50400.00000000,14460768.00000000,15724800.00,1264032.00000000,8.038461538500,8087040.00,6373728.00000000,44.075999283000,4.492800000000
2022-01-01,Antioquia,Bebida de Té,Té Verde 300mL x 6uds,Antioquia-Bebida de Té,450,10800.00000000,4256496.00000000,4860000.00,603504.00000000,12.417777777800,2430000.00,1826496.00000000,42.910788592300,0.810000000000
2022-01-01,Antioquia,Agua,Agua Sin Gas 1L x 6uds,Antioquia-Agua,1068,15000.00000000,14099400.00000000,16020000.00,1920600.00000000,11.988764044900,6408000.00,7691400.00000000,54.551257500300,6.408000000000
2022-01-01,Atlántico,Agua,Agua con Gas 5L x 1uds,Atlántico-Agua,390,12500.00000000,4407500.00000000,4875000.00,467500.00000000,9.589743589700,1950000.00,2457500.00000000,55.757231990900,1.950000000000
2022-01-01,Atlántico,Bebida de Té,Té Verde 500mL x 12uds,Atlántico-Bebida de Té,318,36000.00000000,10877760.00000000,11448000.00,570240.00000000,4.981132075500,5724000.00,5153760.00000000,47.378872120700,1.908000000000
