producto_id,nombre_producto,categoria,marca,volumen_ml_base,unidades_caja_base
1,Té Verde 500mL x 6uds,Bebida de Té,Competidor2,500,6
2,Té Verde 500mL x 12uds,Bebida de Té,Zulianita,500,12
3,Jugo Lima 2000mL x 6uds,Jugo,Competidor1,2000,6
4,Jugo Lima 1000mL x 6uds,Jugo,Zulianita,1000,6
5,Energía Extrema 500mL x 4uds,Bebida Energética,Competidor2,500,4
6,Té Negro 500mL x 6uds,Bebida de Té,Zulianita,500,6
7,Agua Sin Gas 1L x 6uds,Agua,Zulianita,1000,6
8,Agua Sin Gas 1L x 6uds,Agua,Zulianita,1000,6
9,Agua Sin Gas 2L x 6uds,Agua,Competidor1,2000,6
10,Cola 2000mL x 6uds,Gaseosa,Competidor1,2000,6
11,Té Verde 300mL x 6uds,Bebida de Té,Zulianita,300,6
12,Power Up 250mL x 4uds,Bebida Energética,Competidor2,250,4
13,Energía Extrema 500mL x 6uds,Bebida Energética,Competidor2,500,6
14,Jugo Naranja 250mL x 24uds,Jugo,Competidor1,250,24
15,Agua con Gas 2L x 1uds,Agua,Competidor1,2000,1
16,Power Up 250mL x 4uds,Bebida Energética,Competidor2,250,4
17,Piña 1000mL x 24uds,Gaseosa,Competidor1,1000,24
18,Jugo Naranja 2000mL x 24uds,Jugo,Zulianita,2000,24
19,Cola 600mL x 24uds,Gaseosa,Zulianita,600,24
20,Jugo Manzana 600mL x 24uds,Jugo,Competidor1,600,24
21,Agua con Gas 2L x 1uds,Agua,Competidor1,2000,1
22,Power Up 500mL x 6uds,Bebida Energética,Competidor2,500,6
23,Energía Extrema 500mL x 4uds,Bebida Energética,Competidor2,500,4
24,Power Up 500mL x 6uds,Bebida Energética,Zulianita,500,6
25,Agua con Gas 5L x 1uds,Agua,Zulianita,5000,1
26,Agua Sin Gas 1L x 1uds,Agua,Zulianita,1000,1
27,Agua con Gas 500mL x 6uds,Agua,Zulianita,500,6
28,Jugo Manzana 2000mL x 24uds,Jugo,Zulianita,2000,24
29,Té Verde 1000mL x 12uds,Bebida de Té,Competidor2,1000,12
30,Uva 600mL x 24uds,Gaseosa,Zulianita,600,24
31,Jugo Lima 2000mL x 12uds,Jugo,Competidor1,2000,12
32,Té Verde 1000mL x 6uds,Bebida de Té,Competidor2,1000,6
33,Jugo Lima 600mL x 6uds,Jugo,Competidor1,600,6
34,Jugo Lima 600mL x 12uds,Jugo,Competidor1,600,12
35,Jugo Lima 2000mL x 12uds,Jugo,Zulianita,2000,12
36,Power Up 500mL x 4uds,Bebida Energética,Competidor2,500,4
37,Agua Sin Gas 2L x 1uds,Agua,Competidor1,2000,1
38,Jugo Naranja 250mL x 12uds,Jugo,Competidor1,250,12
39,Power Up 250mL x 4uds,Bebida Energética,Competidor2,250,4
40,Agua Sin Gas 1L x 1uds,Agua,Competidor1,1000,1
