promocion_id,nombre_promocion,descuento_porcentaje,fecha_inicio,fecha_fin
1,Promo 1,22,2023-11-10,2024-04-07
2,Promo 2,8,2022-02-17,2022-08-11
3,Promo 3,10,2024-05-23,2024-07-25
4,Promo 4,16,2024-01-09,2024-03-02
5,Promo 5,13,2023-07-06,2023-12-02
6,Promo 6,19,2024-05-30,2024-07-23
7,Promo 7,20,2021-07-19,2021-12-12
8,Promo 8,28,2022-09-29,2023-01-16
9,Promo 9,16,2022-01-27,2022-06-25
10,Promo 10,28,2024-06-24,2024-11-21
11,Promo 11,27,2023-02-04,2023-05-04
12,Promo 12,18,2024-11-03,2025-01-29
13,Promo 13,17,2025-01-20,2025-03-27
14,Promo 14,29,2023-07-09,2023-10-13
15,Promo 15,6,2024-10-24,2025-02-24
16,Promo 16,7,2025-01-23,2025-06-02
17,Promo 17,28,2023-03-28,2023-06-12
18,Promo 18,26,2023-04-03,2023-07-26
19,Promo 19,14,2024-08-08,2024-11-29
20,Promo 20,13,2024-12-29,2025-05-24
