ID_Cliente,Edad,Ingresos_Anuales,Puntaje_Crediticio,Historial_Pagos,Deuda_Actual,Antiguedad_Laboral,Estado_Civil,Numero_Dependientes,Tipo_Empleo,Solicitud_Credito
31d744c0-faa3-44ff-b385-3f7f548c01a0,58,38626.72,349,Bueno,9845.18,12,Casado,5,Desempleado,0
d7e3629c-5d4b-4fea-aac3-db780ddca996,25,65519.12,367,Bueno,3913.94,4,Soltero,3,Desempleado,0
ff4f1a26-d462-4eed-b0e5-73a62389a484,19,20048.33,684,Malo,5401.34,6,Casado,1,Temporal,0
4beefe4a-24d5-4416-aaaa-06834037858f,65,42283.29,840,Malo,42060.95,25,Divorciado,4,Desempleado,0
b4439816-7955-42de-a75d-67e23fe1552c,35,27501.56,357,Regular,8660.58,32,Casado,3,Temporal,0
332d3323-b9f5-4f26-a016-d927aba22210,33,83309.28,585,Malo,8088.17,34,Divorciado,5,Fijo,0
aec06993-4db9-4d1c-867d-3d0a4c8281d8,32,122868.41,382,Regular,14251.77,20,Casado,3,Autonomo,0
d0c8a3a2-269d-4530-98c1-b465dc746683,26,137169.03,600,Bueno,1648.92,37,Soltero,4,Fijo,0
c704c623-40d8-4fce-8026-92629e781598,65,35800.5,374,Bueno,35408.12,11,Divorciado,5,Temporal,0
3acf082f-be66-4391-ab91-745515594629,24,60915.65,629,Malo,34298.62,25,Soltero,5,Autonomo,0
ee1e9aa9-8dd7-4295-b7e2-87ef68ad1ff9,61,80268.71,355,Bueno,36678.39,25,Viudo,1,Fijo,0
93a221ca-dca2-4465-b0e7-8b161fc57d78,65,132973.68,764,Bueno,35380.74,14,Casado,3,Temporal,1
7ed346e0-9bd7-44e2-b35b-3d452f7a7b63,75,56898.43,717,Malo,47021.55,30,Divorciado,1,Desempleado,0
0d82786d-e0cb-4841-9d58-fc169f172ed5,52,59190.62,481,Malo,21671.45,40,Viudo,2,Autonomo,0
8970bd0f-df20-4559-97b2-8b6f1717e05c,23,118879.99,834,Malo,24988.71,1,Viudo,1,Fijo,0
5f197749-4399-48bd-972d-e67ead6e5b78,55,28263.96,500,Regular,2128.25,0,Soltero,4,Autonomo,0
90c751c4-ae71-407d-a82d-21e4428389d2,45,147606.92,753,Malo,45482.35,34,Viudo,4,Fijo,0
9a9e94ce-2f1d-468a-b0fd-b6e4310c4e8b,20,84679.79,721,Regular,33284.47,33,Casado,0,Temporal,1
8e17ced8-5a00-4cea-947d-beed52b36fd1,19,149017.25,447,Bueno,44473.69,38,Divorciado,5,Fijo,0
6c136521-4993-4abf-ae42-1128e7ecd191,23,42700.26,351,Regular,27167.16,17,Viudo,2,Fijo,0
