survey_id,employee_id,survey_date,satisfaction_score,response
1,1074,2024-11-03,5,I feel appreciated in my position. The work-life balance is exceptional.
2,1623,2018-03-18,3,"The team dynamics are fine, but we could use more collaboration."
3,1656,2024-04-21,4,Our department has excellent leadership and clear communication channels.
4,1939,2021-06-17,5,I'm very satisfied with my role. The team is supportive and provides superior opportunities.
5,1587,2018-02-21,4,Our department has excellent leadership and clear communication channels.
6,1596,2025-01-17,4,superior benefits and compensation package. I feel well rewarded for my work.
7,1428,2021-12-24,4,Our department has fantastic leadership and clear communication channels.
8,1066,2021-03-09,4,I'm very satisfied with my role. The unit is encouraging and provides superior opportunities.
9,1071,2022-07-10,4,The workplace culture is outstanding. Management really responds to our feedback.
10,1785,2022-04-04,4,I'm very satisfied with my role. The department is encouraging and provides superior opportunities.
11,1411,2021-12-08,2,Limited growth opportunities and lacking communication from management.
12,1196,2023-09-13,4,I'm very satisfied with my role. The team is supportive and provides excellent opportunities.
13,1453,2019-09-22,4,superior benefits and compensation package. I feel well rewarded for my work.
14,1360,2023-10-31,4,Our department has excellent leadership and clear communication channels.
15,1241,2016-01-21,5,I'm very satisfied with my role. The department is helpful and provides wonderful opportunities.
16,1373,2018-04-28,5,I'm very satisfied with my role. The team is helpful and provides superior opportunities.
17,1327,2025-04-24,5,The work environment culture is outstanding. Management really listens to our feedback.
18,1718,2023-06-28,5,I'm very satisfied with my role. The department is supportive and provides excellent opportunities.
19,1437,2020-03-24,4,I'm very satisfied with my role. The team is helpful and provides exceptional opportunities.
20,1291,2024-08-23,5,I feel valued in my position. The work-life balance is exceptional.
21,1733,2018-05-28,5,excellent benefits and compensation package. I feel well rewarded for my work.
22,1413,2024-06-25,4,I'm very satisfied with my role. The group is encouraging and provides superior opportunities.
23,1393,2025-03-18,4,Our department has outstanding leadership and clear communication channels.
24,1896,2017-01-03,4,I feel recognized in my position. The work-life balance is superior.
25,1571,2025-02-15,5,I feel appreciated in my position. The work-life balance is wonderful.
26,1555,2019-04-29,3,"Management is moderate, but communication could be improved."
27,1235,2024-12-19,4,Our department has great leadership and clear communication channels.
28,1426,2024-07-22,5,Our department has great leadership and clear communication channels.
29,1191,2020-05-20,4,superior benefits and compensation package. I feel well rewarded for my work.
30,1636,2023-11-11,4,The company culture is fantastic. Management really listens to our feedback.
31,1669,2020-09-08,3,"Management is decent, but communication could be improved."
32,1305,2024-11-02,3,The work environment is okay. Some processes could be more efficient.
33,1572,2025-05-21,5,Our department has outstanding leadership and clear communication channels.
34,1207,2020-07-02,4,Our department has great leadership and clear communication channels.
35,1043,2020-06-04,5,I'm very satisfied with my role. The department is supportive and provides wonderful opportunities.
36,1344,2024-07-10,5,The company culture is outstanding. Management really acts on to our feedback.
37,1345,2024-05-15,4,The workplace culture is outstanding. Management really considers to our feedback.
38,1045,2024-10-07,5,The workplace culture is fantastic. Management really acts on to our feedback.
39,1771,2020-08-30,4,The company culture is fantastic. Management really acts on to our feedback.
40,1935,2023-03-01,3,The work environment is okay. Some processes could be more efficient.
41,1531,2020-05-31,1,Limited growth opportunities and inadequate communication from management.
42,1766,2021-09-12,5,The work environment culture is excellent. Management really responds to our feedback.
43,1918,2022-10-14,5,The work environment culture is fantastic. Management really acts on to our feedback.
44,1844,2022-09-15,3,The work environment is adequate. Some processes could be more efficient.
45,1851,2025-03-20,4,The office culture is fantastic. Management really considers to our feedback.
46,1560,2021-04-11,3,"Work-life balance is manageable, though there's room for improvement."
47,1170,2022-12-19,3,"Management is fair, but communication could be improved."
48,1146,2023-02-01,4,The office culture is fantastic. Management really listens to our feedback.
49,1585,2024-03-06,5,Our department has great leadership and clear communication channels.
50,1442,2025-02-03,4,Our department has outstanding leadership and clear communication channels.
51,1810,2021-12-16,1,Work-life balance is awful. Too many overtime hours required.
52,1142,2022-03-01,4,Our department has great leadership and clear communication channels.
53,1594,2024-02-27,1,inadequate support and resources to perform effectively.
54,1576,2023-05-07,3,"Management is fair, but communication could be improved."
55,1710,2023-05-31,2,Work-life balance is unacceptable. Too many overtime hours required.
56,1759,2025-04-27,5,Our department has fantastic leadership and clear communication channels.
57,1696,2022-06-17,3,The work environment is adequate. Some processes could be more efficient.
58,1814,2022-05-27,5,The workplace culture is excellent. Management really listens to our feedback.
59,1042,2018-11-05,5,The work environment culture is fantastic. Management really considers to our feedback.
60,1998,2020-12-16,5,I'm very satisfied with my role. The department is supportive and provides wonderful opportunities.
61,1881,2023-07-08,3,"Work-life balance is tolerable, though there's room for improvement."
62,1002,2024-03-26,4,I feel appreciated in my position. The work-life balance is superior.
63,1904,2017-01-28,5,The office culture is excellent. Management really considers to our feedback.
64,1914,2024-03-26,4,The company culture is fantastic. Management really responds to our feedback.
65,1449,2024-03-10,4,superior benefits and compensation package. I feel well rewarded for my work.
66,1142,2017-11-26,3,standard satisfaction with my current role and responsibilities.
67,1945,2017-12-20,4,The work environment culture is fantastic. Management really listens to our feedback.
68,1241,2018-10-27,5,I'm very satisfied with my role. The department is helpful and provides excellent opportunities.
69,1719,2016-09-24,5,I'm very satisfied with my role. The team is supportive and provides excellent opportunities.
70,1734,2024-10-19,4,excellent benefits and compensation package. I feel well rewarded for my work.
71,1476,2023-05-29,4,The work environment culture is fantastic. Management really listens to our feedback.
72,1704,2025-01-07,5,exceptional benefits and compensation package. I feel well rewarded for my work.
73,1073,2019-12-14,3,typical satisfaction with my current role and responsibilities.
74,1010,2023-09-02,4,superior benefits and compensation package. I feel well rewarded for my work.
75,1402,2024-08-28,4,Our department has outstanding leadership and clear communication channels.
76,2000,2017-09-03,4,wonderful benefits and compensation package. I feel well rewarded for my work.
77,1980,2024-10-27,4,excellent benefits and compensation package. I feel well rewarded for my work.
78,1925,2025-04-21,4,I'm very satisfied with my role. The team is helpful and provides superior opportunities.
79,1706,2024-09-24,5,Our department has great leadership and clear communication channels.
80,1187,2020-02-12,5,I'm very satisfied with my role. The department is helpful and provides exceptional opportunities.
81,1958,2019-11-16,5,excellent benefits and compensation package. I feel well rewarded for my work.
82,1467,2023-11-06,5,exceptional benefits and compensation package. I feel well rewarded for my work.
83,1286,2018-07-11,4,I feel valued in my position. The work-life balance is wonderful.
84,1690,2018-08-31,3,"The team dynamics are alright, but we could use more collaboration."
85,1988,2021-01-15,5,exceptional benefits and compensation package. I feel well rewarded for my work.
86,1302,2022-04-29,4,superior benefits and compensation package. I feel well rewarded for my work.
87,1576,2023-03-02,5,The company culture is great. Management really considers to our feedback.
88,1366,2017-03-11,5,I feel valued in my position. The work-life balance is excellent.
89,1214,2025-04-23,5,I'm very satisfied with my role. The group is helpful and provides excellent opportunities.
90,1675,2023-04-13,4,wonderful benefits and compensation package. I feel well rewarded for my work.
91,1040,2025-01-15,5,I'm very satisfied with my role. The group is supportive and provides wonderful opportunities.
92,1406,2025-02-01,3,moderate satisfaction with my current role and responsibilities.
93,1306,2025-02-17,5,I feel appreciated in my position. The work-life balance is excellent.
94,1452,2020-11-07,4,Our department has outstanding leadership and clear communication channels.
95,1114,2024-09-26,4,I'm very satisfied with my role. The unit is encouraging and provides wonderful opportunities.
96,1683,2022-02-15,3,"Work-life balance is manageable, though there's room for improvement."
97,1248,2021-12-19,5,I feel recognized in my position. The work-life balance is excellent.
98,1579,2023-10-10,4,Our department has outstanding leadership and clear communication channels.
99,1465,2023-06-13,3,The work environment is satisfactory. Some processes could be more efficient.
100,1671,2024-03-01,3,moderate satisfaction with my current role and responsibilities.
101,1876,2025-03-25,4,I feel recognized in my position. The work-life balance is superior.
102,1260,2021-10-28,4,Our department has excellent leadership and clear communication channels.
103,1337,2024-05-19,5,The workplace culture is great. Management really acts on to our feedback.
104,1484,2023-06-27,2,Limited growth opportunities and insufficient communication from management.
105,1199,2018-09-13,3,The work environment is okay. Some processes could be more efficient.
106,1197,2024-11-02,3,"The team dynamics are standard, but we could use more collaboration."
107,1757,2022-02-06,5,Our department has outstanding leadership and clear communication channels.
108,1234,2020-01-27,1,lacking support and resources to perform effectively.
109,1121,2023-11-13,2,Limited growth opportunities and inadequate communication from management.
110,1878,2017-08-17,4,I'm very satisfied with my role. The unit is supportive and provides exceptional opportunities.
111,1127,2025-04-12,4,The workplace culture is excellent. Management really responds to our feedback.
112,1619,2024-05-13,4,I feel valued in my position. The work-life balance is superior.
113,1284,2024-10-21,5,I feel appreciated in my position. The work-life balance is excellent.
114,1447,2023-05-19,5,I'm very satisfied with my role. The unit is encouraging and provides exceptional opportunities.
115,1954,2020-03-08,3,"Work-life balance is acceptable, though there's room for improvement."
116,1432,2022-03-29,5,I'm very satisfied with my role. The unit is encouraging and provides superior opportunities.
117,1341,2024-08-05,5,I feel appreciated in my position. The work-life balance is superior.
118,1392,2019-04-29,3,The work environment is okay. Some processes could be more efficient.
119,1649,2023-08-15,4,wonderful benefits and compensation package. I feel well rewarded for my work.
120,1851,2022-01-03,3,average satisfaction with my current role and responsibilities.
121,1731,2022-12-03,4,The company culture is fantastic. Management really considers to our feedback.
122,1527,2021-03-01,4,Our department has outstanding leadership and clear communication channels.
123,1739,2022-05-12,5,exceptional benefits and compensation package. I feel well rewarded for my work.
124,1585,2021-12-27,4,I'm very satisfied with my role. The team is supportive and provides wonderful opportunities.
125,1701,2022-01-27,5,I feel respected in my position. The work-life balance is exceptional.
126,1426,2024-06-03,4,The work environment culture is fantastic. Management really considers to our feedback.
127,1142,2022-06-24,5,excellent benefits and compensation package. I feel well rewarded for my work.
128,1484,2023-05-13,5,I feel valued in my position. The work-life balance is wonderful.
129,1969,2018-08-27,4,wonderful benefits and compensation package. I feel well rewarded for my work.
130,1886,2023-04-14,5,I'm very satisfied with my role. The group is supportive and provides excellent opportunities.
131,1377,2022-06-27,4,superior benefits and compensation package. I feel well rewarded for my work.
132,1058,2021-08-03,5,I feel recognized in my position. The work-life balance is superior.
133,1457,2020-07-03,4,I'm very satisfied with my role. The unit is supportive and provides excellent opportunities.
134,1130,2023-07-03,4,I feel valued in my position. The work-life balance is exceptional.
135,1904,2020-03-20,4,Our department has great leadership and clear communication channels.
136,1397,2022-06-07,5,Our department has great leadership and clear communication channels.
137,1793,2024-01-26,5,I feel valued in my position. The work-life balance is superior.
138,1251,2024-12-28,3,"The team dynamics are fine, but we could use more collaboration."
139,1723,2023-09-02,5,excellent benefits and compensation package. I feel well rewarded for my work.
140,1495,2021-09-14,5,Our department has fantastic leadership and clear communication channels.
141,1574,2024-02-06,4,superior benefits and compensation package. I feel well rewarded for my work.
142,1579,2019-08-12,3,moderate satisfaction with my current role and responsibilities.
143,1843,2017-03-23,5,superior benefits and compensation package. I feel well rewarded for my work.
144,1170,2024-04-27,4,I feel respected in my position. The work-life balance is exceptional.
145,1731,2021-03-13,4,The workplace culture is excellent. Management really listens to our feedback.
146,1935,2023-12-27,5,I feel respected in my position. The work-life balance is wonderful.
147,1760,2019-02-12,4,The workplace culture is outstanding. Management really considers to our feedback.
148,1645,2022-11-10,5,I'm very satisfied with my role. The unit is helpful and provides excellent opportunities.
149,1086,2020-10-05,4,superior benefits and compensation package. I feel well rewarded for my work.
150,1823,2024-01-05,4,I'm very satisfied with my role. The department is collaborative and provides exceptional opportunities.
151,1481,2024-10-12,5,I'm very satisfied with my role. The team is helpful and provides excellent opportunities.
152,1874,2024-09-11,5,The office culture is outstanding. Management really listens to our feedback.
153,1970,2021-04-27,5,I'm very satisfied with my role. The department is encouraging and provides excellent opportunities.
154,1154,2020-08-13,4,The workplace culture is excellent. Management really responds to our feedback.
155,1281,2025-04-29,3,typical satisfaction with my current role and responsibilities.
156,1241,2015-08-06,4,I feel appreciated in my position. The work-life balance is exceptional.
157,1819,2024-10-13,5,I'm very satisfied with my role. The group is collaborative and provides excellent opportunities.
158,1988,2021-10-27,5,wonderful benefits and compensation package. I feel well rewarded for my work.
159,1002,2024-07-03,4,superior benefits and compensation package. I feel well rewarded for my work.
160,1878,2021-12-23,3,The work environment is adequate. Some processes could be more efficient.
161,1097,2019-06-30,5,excellent benefits and compensation package. I feel well rewarded for my work.
162,1739,2020-12-11,4,Our department has great leadership and clear communication channels.
163,1574,2023-05-16,3,standard satisfaction with my current role and responsibilities.
164,1181,2023-12-10,3,"Management is acceptable, but communication could be improved."
165,1699,2021-10-08,4,Our department has fantastic leadership and clear communication channels.
166,1026,2023-09-09,2,Work-life balance is terrible. Too many overtime hours required.
167,1147,2022-07-27,4,I'm very satisfied with my role. The department is helpful and provides exceptional opportunities.
168,1652,2022-08-09,3,The work environment is satisfactory. Some processes could be more efficient.
169,1718,2023-11-11,4,I feel recognized in my position. The work-life balance is excellent.
170,1772,2025-01-26,2,Company culture needs significant improvement. Morale is concerning.
171,1205,2017-09-29,4,I feel valued in my position. The work-life balance is excellent.
172,1005,2020-01-19,5,I feel respected in my position. The work-life balance is excellent.
173,1831,2019-06-13,3,"The team dynamics are fine, but we could use more collaboration."
174,1813,2023-11-05,2,Feeling exhausted and pressured due to high workload.
175,1690,2020-10-03,5,The office culture is great. Management really responds to our feedback.
176,1669,2022-04-08,5,I'm very satisfied with my role. The unit is helpful and provides wonderful opportunities.
