case_id;date;start_of_week;start_of_month;translated_comments;sentiment;sentiment_rate;channel;resolution_time_min;csat_rating_received;classification;resolved_in_sla;first_touch_resolution;group_name_history;groups;total_groups;csat_rated_group_name;issue_classification
CASE-17673;2024-08-27;2024-08-25;2024-08-01;Email support was a complete letdown.;negative;2;phone;113;1;DETRACTOR;0;0;Grupo E,Grupo F,Grupo B,Grupo E,Grupo D;4;5;Grupo D;Loan Inquiry
CASE-21835;2024-09-13;2024-09-08;2024-09-01;Quick and friendly service, my card issue was sorted out fast.;positive;4;phone;15;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Transaction Error
CASE-15363;2024-04-24;2024-04-21;2024-04-01;The chatbot assisted with my fees, but it was slow.;neutral;3;email;392;3;DETRACTOR;1;1;Grupo F;1;1;Grupo F;Balance Inquiry
CASE-17947;2023-02-26;2023-02-26;2023-02-01;The email team was fast and solved my problem.;positive;5;phone;15;5;PROMOTER;1;1;Grupo E,Grupo F,Grupo B;3;3;Grupo B;Card Issues
CASE-26420;2022-11-08;2022-11-06;2022-11-01;The chatbot explained my fees so clearly, I’m impressed!;positive;4;email;119;4;PROMOTER;1;1;Grupo D,Grupo B;2;2;Grupo B;Card Issues
CASE-23876;2022-11-30;2022-11-27;2022-11-01;Phone support was efficient and solved my problem fast.;positive;4;phone;15;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Balance Inquiry
CASE-29927;2023-03-31;2023-03-26;2023-03-01;The support team over the phone was incredibly helpful.;positive;4;phone;16;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Account Setup
CASE-23993;2023-07-14;2023-07-09;2023-07-01;The chatbot was quick to assist with my card issue.;positive;4;email;276;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Loan Inquiry
CASE-21195;2022-03-09;2022-03-06;2022-03-01;The phone agent was rude and didn’t solve my issue.;negative;2;email;3015;1;DETRACTOR;0;0;Grupo I,Grupo I,Grupo G,Grupo A;3;4;Grupo A;Transaction Error
CASE-16604;2024-12-08;2024-12-08;2024-12-01;Email support didn’t bother to read my email.;negative;1;email;2154;2;DETRACTOR;0;0;Grupo J,Grupo F,Grupo J,Grupo G;3;4;Grupo G;Card Issues
CASE-26718;2022-10-19;2022-10-16;2022-10-01;The phone service was awful, no one knew what to do.;negative;1;email;2663;2;DETRACTOR;0;0;Grupo J,Grupo A,Grupo E,Grupo B;4;4;Grupo B;Transaction Error
CASE-26259;2022-09-20;2022-09-18;2022-09-01;The phone team solved my issue, but it took time.;neutral;3;chatbot;17;4;PROMOTER;0;1;Grupo C,Grupo D,Grupo D,Grupo A;3;4;Grupo A;Loan Inquiry
CASE-16491;2023-04-12;2023-04-09;2023-04-01;I had a horrible experience with the phone support.;negative;1;email;3983;2;DETRACTOR;0;0;Grupo C,Grupo G,Grupo F;3;3;Grupo F;Balance Inquiry
CASE-24040;2022-09-19;2022-09-18;2022-09-01;The chatbot gave me accurate info about my account in seconds.;positive;4;email;292;4;PROMOTER;1;1;Grupo I,Grupo G,Grupo J;3;3;Grupo J;Account Setup
CASE-20019;2023-11-04;2023-10-29;2023-11-01;I received a detailed email response in less than an hour.;positive;4;chatbot;5;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Balance Inquiry
CASE-22205;2022-08-26;2022-08-21;2022-08-01;The email response was detailed and very helpful.;positive;5;phone;19;4;PROMOTER;1;0;Grupo A,Grupo E;2;2;Grupo E;Loan Inquiry
CASE-19875;2023-03-04;2023-02-26;2023-03-01;The staff made transferring funds so easy and stress-free.;positive;4;phone;16;5;PROMOTER;1;0;Grupo E;1;1;Grupo E;Payment Issues
CASE-19364;2022-08-16;2022-08-14;2022-08-01;Email support took a week to reply, ridiculous!;negative;1;chatbot;10;2;DETRACTOR;1;0;Grupo H,Grupo J,Grupo J,Grupo D;3;4;Grupo D;Fees Inquiry
CASE-15476;2023-03-01;2023-02-26;2023-03-01;The email response was detailed and very helpful.;positive;4;phone;17;5;PROMOTER;1;1;Grupo B,Grupo E;2;2;Grupo E;Loan Inquiry
