case_id,date,start_of_week,start_of_month,translated_comments,sentiment,sentiment_rate,resolution_time_min,csat_rating_received,group_name_history,groups,total_groups,channel_email,channel_phone,classification_PROMOTER,resolved_in_sla_1,first_touch_resolution_1,csat_rated_group_name_Grupo B,csat_rated_group_name_Grupo C,csat_rated_group_name_Grupo D,csat_rated_group_name_Grupo E,csat_rated_group_name_Grupo F,csat_rated_group_name_Grupo G,csat_rated_group_name_Grupo H,csat_rated_group_name_Grupo I,csat_rated_group_name_Grupo J,issue_classification_Balance Inquiry,issue_classification_Card Issues,issue_classification_Fees Inquiry,issue_classification_Fraud Report,issue_classification_General Inquiry,issue_classification_Loan Inquiry,issue_classification_Login Problems,issue_classification_Payment Issues,issue_classification_Transaction Error,Key,Tipo_Outlier,Metodo_Seleccionado
CASE-17673,2024-08-27,2024-08-25,2024-08-01,Email support was a complete letdown.,negative,2,113,1,"Grupo E,Grupo F,Grupo B,Grupo E,Grupo D",4,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CASE-17673,Superior,MinCovDet
CASE-21195,2022-03-09,2022-03-06,2022-03-01,The phone agent was rude and didn’t solve my issue.,negative,2,3015,1,"Grupo I,Grupo I,Grupo G,Grupo A",3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-21195,Superior,MinCovDet
CASE-16604,2024-12-08,2024-12-08,2024-12-01,Email support didn’t bother to read my email.,negative,1,2154,2,"Grupo J,Grupo F,Grupo J,Grupo G",3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,CASE-16604,Superior,MinCovDet
CASE-26718,2022-10-19,2022-10-16,2022-10-01,"The phone service was awful, no one knew what to do.",negative,1,2663,2,"Grupo J,Grupo A,Grupo E,Grupo B",4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CASE-26718,Superior,MinCovDet
CASE-16491,2023-04-12,2023-04-09,2023-04-01,I had a horrible experience with the phone support.,negative,1,3983,2,"Grupo C,Grupo G,Grupo F",3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,CASE-16491,Superior,MinCovDet
CASE-17499,2023-12-29,2023-12-24,2023-12-01,The chatbot crashed when I asked about my loan.,negative,2,2997,1,"Grupo C,Grupo G,Grupo H",3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,CASE-17499,Superior,MinCovDet
CASE-28381,2022-09-16,2022-09-11,2022-09-01,The phone agent was impatient and rude.,negative,1,5316,1,"Grupo F,Grupo B,Grupo G",3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,CASE-28381,Superior,MinCovDet
CASE-23710,2022-12-21,2022-12-18,2022-12-01,The email response was sloppy and unclear.,negative,2,3473,2,"Grupo H,Grupo H,Grupo A,Grupo B,Grupo J",4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,CASE-23710,Superior,MinCovDet
CASE-21580,2024-12-31,2024-12-29,2024-12-01,The chatbot gave me nonsense answers all the time.,negative,1,3624,2,"Grupo E,Grupo C,Grupo F",3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-21580,Superior,MinCovDet
CASE-23206,2024-02-07,2024-02-04,2024-02-01,Email support was a complete letdown.,negative,2,7023,1,"Grupo H,Grupo I,Grupo H,Grupo B",3,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CASE-23206,Superior,MinCovDet
