CASE ID;Date;Start of Week;Start of Month;TRANSLATED COMMENTS;Feeling;FEEL;CHANNEL;RESOLUTION TIME (min);CSAT Rating Received;CLASSIFICATION;RESOLVED IN SLA;FIRST TOUCH RESOLUTION;Group Name History;Groups;Total Groups;CSAT Rated Group Name;ISSUE CLASSIFICATION
CASE-1716;2025-06-22;2025-06-22;2025-06-01;The phone team was amazing with my inquiry.;positive;positive;phone;8;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Fees Inquiry
CASE-1438;2024-08-09;2024-08-04;2024-08-01;The chatbot was quick to assist with my transfer request.;positive;positive;phone;6;5;PROMOTER;1;1;Grupo H,Grupo B,Grupo A;3;3;Grupo A;Card Issues
CASE-1039;2025-11-21;2025-11-16;2025-11-01;Phone support was okay, nothing remarkable.;neutral;neutral;email;395;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Transaction Error
CASE-1173;2024-01-20;2024-01-14;2024-01-01;The chatbot assisted me with my savings account inquiry perfectly.;positive;positive;chatbot;4;5;PROMOTER;1;1;Grupo H,Grupo H,Grupo D;2;3;Grupo D;General Inquiry
CASE-1792;2023-02-02;2023-01-29;2023-02-01;The chatbot gave me outdated info about my fees.;negative;negative;chatbot;30;2;DETRACTOR;0;0;Grupo H;1;1;Grupo H;Transaction Error
CASE-1185;2023-11-28;2023-11-26;2023-11-01;The chatbot quickly helped me reset my password.;positive;positive;phone;11;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-1785;2025-06-21;2025-06-15;2025-06-01;Email support was okay, not very detailed.;neutral;neutral;email;574;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Transaction Error
CASE-1282;2023-08-18;2023-08-13;2023-08-01;The chatbot was okay with my rewards query.;neutral;neutral;phone;50;3;DETRACTOR;0;1;Grupo H,Grupo E;2;2;Grupo E;Card Issues
CASE-1445;2024-01-20;2024-01-14;2024-01-01;Phone support was terrible, they wasted my time.;negative;negative;chatbot;37;1;DETRACTOR;0;0;Grupo H,Grupo J;2;2;Grupo J;General Inquiry
CASE-1203;2025-02-18;2025-02-16;2025-02-01;The chatbot was decent with my payment request.;neutral;neutral;phone;25;3;DETRACTOR;1;1;Grupo J;1;1;Grupo J;Payment Issues
CASE-1891;2025-01-15;2025-01-12;2025-01-01;I received a detailed email response in less than an hour.;positive;positive;chatbot;3;4;PROMOTER;1;1;Grupo D;1;1;Grupo D;Card Issues
CASE-1569;2025-05-11;2025-05-11;2025-05-01;The service was top-notch, I’m so happy with this bank!;positive;positive;email;176;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Balance Inquiry
CASE-1224;2024-03-11;2024-03-10;2024-03-01;The email response was professional and to the point.;positive;positive;chatbot;6;5;PROMOTER;1;1;Grupo E,Grupo D;2;2;Grupo D;Loan Inquiry
CASE-1639;2024-05-21;2024-05-19;2024-05-01;The agent was knowledgeable and made me feel valued.;positive;positive;email;325;4;PROMOTER;1;1;Grupo H,Grupo I,Grupo F;3;3;Grupo F;Transaction Error
CASE-1416;2024-10-12;2024-10-06;2024-10-01;The chatbot guided me through my account options easily.;positive;positive;email;134;4;PROMOTER;1;1;Grupo D,Grupo C;2;2;Grupo C;Balance Inquiry
CASE-1175;2024-06-27;2024-06-23;2024-06-01;The phone team was courteous and fixed my issue instantly.;positive;positive;email;185;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-1552;2023-07-24;2023-07-23;2023-07-01;Phone support was slow and didn’t fix my card issue.;negative;negative;chatbot;20;1;DETRACTOR;0;0;Grupo F,Grupo F;1;2;Grupo F;Payment Issues
CASE-1882;2024-08-24;2024-08-18;2024-08-01;The email response was thorough and polite.;positive;positive;chatbot;7;4;PROMOTER;1;1;Grupo H,Grupo A,Grupo I;3;3;Grupo I;Balance Inquiry
CASE-1576;2023-08-01;2023-07-30;2023-08-01;The chatbot saved me so much time with my transaction query.;positive;positive;chatbot;2;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Account Setup
CASE-1378;2023-02-18;2023-02-12;2023-02-01;The chatbot couldn’t process my balance request.;negative;negative;chatbot;33;1;DETRACTOR;0;0;Grupo I,Grupo C;2;2;Grupo C;Login Problems
CASE-1926;2023-11-16;2023-11-12;2023-11-01;The email response was fine, not very helpful.;neutral;neutral;email;961;4;PROMOTER;1;0;Grupo H,Grupo J;2;2;Grupo J;Account Setup
CASE-1459;2025-04-17;2025-04-13;2025-04-01;The chatbot was fine with my transfer issue.;neutral;neutral;chatbot;10;3;DETRACTOR;1;1;Grupo F,Grupo D,Grupo J,Grupo J;3;4;Grupo J;Balance Inquiry
CASE-1471;2024-04-14;2024-04-14;2024-04-01;The phone team was amazing with my inquiry.;positive;positive;email;126;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Balance Inquiry
CASE-1503;2025-06-14;2025-06-08;2025-06-01;The email team didn’t care about my problem.;negative;negative;chatbot;64;1;DETRACTOR;0;0;Grupo E,Grupo I,Grupo F;3;3;Grupo F;Card Issues
CASE-1711;2023-11-01;2023-10-29;2023-11-01;The email response was rude and dismissive.;negative;negative;chatbot;41;2;DETRACTOR;0;0;Grupo J,Grupo A,Grupo F;3;3;Grupo F;Login Problems
CASE-1016;2025-01-12;2025-01-12;2025-01-01;The chatbot couldn’t process my balance request.;negative;negative;phone;96;2;DETRACTOR;0;0;Grupo B,Grupo E,Grupo H;3;3;Grupo H;Transaction Error
CASE-1274;2023-01-06;2023-01-01;2023-01-01;The chatbot was fine, answered my balance query.;neutral;neutral;email;1807;3;DETRACTOR;0;1;Grupo F,Grupo J;2;2;Grupo J;Payment Issues
CASE-1158;2023-03-25;2023-03-19;2023-03-01;The chatbot answered my loan question in seconds.;positive;positive;phone;5;5;PROMOTER;1;0;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-1207;2024-09-17;2024-09-15;2024-09-01;The call center staff was patient and resolved my payment issue.;positive;positive;chatbot;10;4;PROMOTER;1;1;Grupo H,Grupo B;2;2;Grupo B;Account Setup
CASE-1305;2023-01-03;2023-01-01;2023-01-01;The agent was very helpful and resolved my issue quickly.;positive;positive;chatbot;2;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Loan Inquiry
CASE-1146;2023-06-05;2023-06-04;2023-06-01;Phone support was terrible, they wasted my time.;negative;negative;phone;78;1;DETRACTOR;0;0;Grupo F,Grupo J;2;2;Grupo J;Transaction Error
CASE-1755;2024-06-28;2024-06-23;2024-06-01;Email support was decent, met expectations.;neutral;neutral;chatbot;33;3;DETRACTOR;0;1;Grupo H,Grupo E,Grupo B,Grupo C;4;4;Grupo C;Card Issues
CASE-1222;2024-07-25;2024-07-21;2024-07-01;Email support was fair, nothing special.;neutral;neutral;phone;103;4;PROMOTER;0;1;Grupo B,Grupo A,Grupo J,Grupo G;4;4;Grupo G;Card Issues
CASE-1765;2023-05-07;2023-05-07;2023-05-01;The email team helped me update my contact info effortlessly.;positive;positive;chatbot;3;4;PROMOTER;1;0;Grupo B;1;1;Grupo B;Account Setup
CASE-1967;2025-11-12;2025-11-09;2025-11-01;The phone agent was so patient with my account setup.;positive;positive;chatbot;4;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Card Issues
CASE-1736;2025-08-14;2025-08-10;2025-08-01;Phone support was disrespectful and unhelpful.;negative;negative;email;3773;1;DETRACTOR;0;0;Grupo F,Grupo F,Grupo I,Grupo A;3;4;Grupo A;Loan Inquiry
CASE-1559;2023-06-11;2023-06-11;2023-06-01;Phone support was a disaster, they made it worse!;negative;negative;phone;96;1;DETRACTOR;0;0;Grupo I,Grupo C,Grupo C;2;3;Grupo C;Login Problems
CASE-1808;2024-11-27;2024-11-24;2024-11-01;The phone agent didn’t even try to assist me.;negative;negative;chatbot;38;2;DETRACTOR;0;1;Grupo B,Grupo D,Grupo B,Grupo C;3;4;Grupo C;Card Issues
CASE-1191;2024-04-09;2024-04-07;2024-04-01;The chatbot answered all my questions perfectly, amazing!;positive;positive;email;164;5;PROMOTER;1;1;Grupo H,Grupo H;1;2;Grupo H;Loan Inquiry
CASE-1045;2025-01-13;2025-01-12;2025-01-01;I had a wonderful experience opening my account via phone.;positive;positive;phone;12;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Card Issues
CASE-1320;2024-06-23;2024-06-23;2024-06-01;The phone team was slow and unprofessional.;negative;negative;chatbot;11;1;DETRACTOR;0;0;Grupo B;1;1;Grupo B;Login Problems
CASE-1257;2025-10-11;2025-10-05;2025-10-01;The chatbot was decent, nothing exceptional.;neutral;neutral;chatbot;20;3;DETRACTOR;0;1;Grupo I,Grupo D;2;2;Grupo D;Account Setup
CASE-1424;2024-08-10;2024-08-04;2024-08-01;The chatbot assisted me with my fees effortlessly.;positive;positive;phone;7;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Card Issues
CASE-1527;2024-05-14;2024-05-12;2024-05-01;The phone agent didn’t understand my issue.;negative;negative;phone;54;1;DETRACTOR;0;0;Grupo B,Grupo F,Grupo A;3;3;Grupo A;Transaction Error
CASE-1948;2024-11-06;2024-11-03;2024-11-01;The email team provided excellent service, I’m happy!;positive;positive;phone;13;4;PROMOTER;1;0;Grupo F;1;1;Grupo F;Loan Inquiry
CASE-1264;2025-07-23;2025-07-20;2025-07-01;The chatbot gave me outdated info about my fees.;negative;negative;phone;177;2;DETRACTOR;0;0;Grupo H,Grupo A,Grupo B;3;3;Grupo B;Account Setup
CASE-1127;2025-02-14;2025-02-09;2025-02-01;The phone agent was alright, no big issues.;neutral;neutral;phone;53;3;DETRACTOR;0;1;Grupo C,Grupo J,Grupo D,Grupo C;3;4;Grupo C;Loan Inquiry
CASE-1744;2023-10-09;2023-10-08;2023-10-01;The email team provided excellent service, I’m happy!;positive;positive;chatbot;2;5;PROMOTER;1;0;Grupo B;1;1;Grupo B;Loan Inquiry
CASE-1895;2023-12-10;2023-12-10;2023-12-01;The chatbot crashed when I asked about my loan.;negative;negative;phone;205;1;DETRACTOR;0;0;Grupo A,Grupo A,Grupo G,Grupo D;3;4;Grupo D;Login Problems
CASE-1890;2024-09-22;2024-09-22;2024-09-01;The phone team made banking so easy for me.;positive;positive;phone;5;5;PROMOTER;1;0;Grupo H;1;1;Grupo H;Card Issues
CASE-1334;2023-12-19;2023-12-17;2023-12-01;The phone agent was fine, nothing remarkable.;neutral;neutral;email;2620;3;DETRACTOR;0;1;Grupo B,Grupo D,Grupo C;3;3;Grupo C;Balance Inquiry
CASE-1060;2024-03-17;2024-03-17;2024-03-01;The email response was thorough and resolved my question.;positive;positive;chatbot;2;5;PROMOTER;1;0;Grupo B;1;1;Grupo B;Card Issues
CASE-1154;2023-04-21;2023-04-16;2023-04-01;The service was fine, I got what I needed.;neutral;neutral;email;787;4;PROMOTER;1;0;Grupo G;1;1;Grupo G;Payment Issues
CASE-1954;2025-11-03;2025-11-02;2025-11-01;Email support didn’t bother to read my email.;negative;negative;chatbot;54;1;DETRACTOR;0;1;Grupo F,Grupo J,Grupo B,Grupo I,Grupo F;4;5;Grupo F;Card Issues
CASE-1461;2025-06-10;2025-06-08;2025-06-01;The support team over the phone was incredibly helpful.;positive;positive;chatbot;9;5;PROMOTER;1;1;Grupo B,Grupo D;2;2;Grupo D;Account Setup
CASE-1534;2024-11-25;2024-11-24;2024-11-01;The phone agent gave me conflicting information.;negative;negative;phone;123;2;DETRACTOR;0;0;Grupo J,Grupo I,Grupo C;3;3;Grupo C;Login Problems
CASE-1117;2023-03-04;2023-02-26;2023-03-01;Email support took a week to reply, ridiculous!;negative;negative;phone;105;2;DETRACTOR;0;1;Grupo H,Grupo C;2;2;Grupo C;Fees Inquiry
CASE-1000;2025-10-09;2025-10-05;2025-10-01;The chatbot assisted with my account setup smoothly.;positive;positive;phone;9;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Balance Inquiry
CASE-1977;2025-05-08;2025-05-04;2025-05-01;The phone team made me wait and then hung up.;negative;negative;chatbot;23;2;DETRACTOR;0;1;Grupo E,Grupo G,Grupo E,Grupo I;3;4;Grupo I;Account Setup
CASE-1107;2023-11-26;2023-11-26;2023-11-01;The chatbot quickly helped me reset my password.;positive;positive;phone;12;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;General Inquiry
CASE-1690;2023-07-14;2023-07-09;2023-07-01;Phone support was a nightmare, no help at all.;negative;negative;phone;142;2;DETRACTOR;0;0;Grupo B,Grupo B,Grupo C,Grupo I,Grupo E;4;5;Grupo E;Transaction Error
CASE-1490;2024-12-07;2024-12-01;2024-12-01;The phone agent was rude and didn’t solve my issue.;negative;negative;chatbot;12;2;DETRACTOR;0;0;Grupo H,Grupo C;2;2;Grupo C;Balance Inquiry
CASE-1325;2025-01-29;2025-01-26;2025-01-01;The email team didn’t fix my login problem.;negative;negative;email;3632;2;DETRACTOR;0;1;Grupo G,Grupo C,Grupo A,Grupo J;4;4;Grupo J;Transaction Error
CASE-1248;2023-12-22;2023-12-17;2023-12-01;The chatbot gave me wrong payment instructions.;negative;negative;chatbot;31;1;DETRACTOR;0;1;Grupo G,Grupo H;2;2;Grupo H;Balance Inquiry
CASE-1579;2023-01-07;2023-01-01;2023-01-01;The chatbot kept looping with no solution.;negative;negative;chatbot;64;2;DETRACTOR;0;0;Grupo B,Grupo A,Grupo A,Grupo D;3;4;Grupo D;Fraud Report
CASE-1943;2025-12-11;2025-12-07;2025-12-01;Email support didn’t bother to read my email.;negative;negative;chatbot;77;2;DETRACTOR;0;1;Grupo B,Grupo I,Grupo C,Grupo B;3;4;Grupo B;Login Problems
CASE-1532;2024-06-25;2024-06-23;2024-06-01;The chatbot made checking my rewards so simple.;positive;positive;phone;9;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-1153;2025-05-12;2025-05-11;2025-05-01;The chatbot couldn’t process my balance request.;negative;negative;chatbot;46;1;DETRACTOR;0;1;Grupo I,Grupo E,Grupo J;3;3;Grupo J;General Inquiry
CASE-1255;2023-12-26;2023-12-24;2023-12-01;The chatbot helped with my rewards, but it was slow.;neutral;neutral;chatbot;52;3;DETRACTOR;0;0;Grupo I,Grupo I,Grupo A,Grupo H;3;4;Grupo H;Loan Inquiry
CASE-1952;2023-10-06;2023-10-01;2023-10-01;The phone agent didn’t even try to assist me.;negative;negative;email;3531;2;DETRACTOR;0;1;Grupo C,Grupo H,Grupo D,Grupo I;4;4;Grupo I;Balance Inquiry
